Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
globalisation;Globalisation;;;;;;;;;;;;;
globalisation_desc;Globalisation;;;;;;;;;;;;;
global_communications;Global Communications;;;;;;;;;;;;;
global_communications_desc;Global Communications;;;;;;;;;;;;;
placeholder1;Placeholder;;;;;;;;;;;;;
placeholder3;Placeholder;;;;;;;;;;;;;
georgian_era;Cultural Advancement;;;;;;;;;;;;;
elizabethan_era;Philosophical Advancement;;;;;;;;;;;;;
high_baroque;High Baroque;;;;;;;;;;;;;
human_augmentation;Military Augmentation;;;;;;;;;;;;;
globalized_economy;Globalized Economy;;;;;;;;;;;;;
green_power;Green Electricity;;;;;;;;;;;;;
heliocentrism;Heliocentrism;;;;;;;;;;;;;
grenadier_invention;Grenadiers;;;;;;;;;;;;;
grande_armee_invention;Grande Armee;;;;;;;;;;;;;
high_baroque_construction;High Baroque Construction;;;;;;;;;;;;;
high_baroque_fine_arts;High Baroque Fine Arts;;;;;;;;;;;;;
high_baroque_music_n_literature;High Baroque Music and Literature;;;;;;;;;;;;;
humanism_invention;Humanism;;;;;;;;;;;;;
high_temperature_superconductivity;High Temperature Superconductivity;;;;;;;;;;;;;
high_temperature_superconductivity_desc;High Temperature Superconductivity;;;;;;;;;;;;;
;;;;;;;;;;;;;;
