Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
eiffeltower_NEWS_LONG;The Eiffer Tower has been built in Paris.;;;;;;;;;;;;;
eiffeltower_NEWS_MEDIUM;The Eiffer Tower has been built in Paris.;;;;;;;;;;;;;
eiffeltower_NEWS_SHORT;The Eiffel Tower has been built;;;;;;;;;;;;;
bigben_NEWS_LONG;Big Ben has been built in London.;;;;;;;;;;;;;
bigben_NEWS_MEDIUM;Big Ben has been built in London.;;;;;;;;;;;;;
bigben_NEWS_SHORT;Big Ben has been built;;;;;;;;;;;;;
nuclear_weapons;Nuclear Weapons;;;;;;;;;;;;;
computers;Computers;;;;;;;;;;;;;
martian_goods;Martian Resources;;;;;;;;;;;;;
lunar_goods;Lunar Resources;;;;;;;;;;;;;
nuclear_weapons_factory;Nuclear Weapons Facility;;;;;;;;;;;;;
computer_factory;Computer Factory;;;;;;;;;;;;;
specops;Special Forces;;;;;;;;;;;;;
specops_short;SF;;;;;;;;;;;;;
transport_plane;Transport Plane;;;;;;;;;;;;;
transport_plane_short;TP;;;;;;;;;;;;;
bomber;Bomber Squadron;;;;;;;;;;;;;
bomber_short;BO;;;;;;;;;;;;;
carrier;Carrier;;;;;;;;;;;;;
carrier_short;CA;;;;;;;;;;;;;
submarine_short;SUB;;;;;;;;;;;;;
nuclear_weapons_factory_desc;Uranium, a rare metal, electric components and machine parts are needed to produce nuclear weapons.;;;;;;;;;;;;;
computer_factory_desc;Glass, electric gear, rubber and rare metals are needed to produce computers.;;;;;;;;;;;;;
scientists;Scientists;;;;;;;;;;;;;
promote_scientists;Encourage Scientists ;;;;;;;;;;;;;
promote_spacecolonists;Encourage Space Pioneers ;;;;;;;;;;;;;
space_focus;Encourage Space Enterprise ;;;;;;;;;;;;;
entertainment_focus;Encourage Entertainment Industry ;;;;;;;;;;;;;
encourage_emigration;Encourage Emigration ;;;;;;;;;;;;;
entertainment_goods;Entertainment Products;;;;;;;;;;;;;
entertainment_industry;Entertainment Industry;;;;;;;;;;;;;
fearofradiation;Fear of Radiation;;;;;;;;;;;;;
embrace_old_norse_title;Embrace the Old Faith;;;;;;;;;;;;;
embrace_old_norse_desc;Having successfully united Scandinavia we are now witnessing a dynamic revival of its culture. This has led to a curious occurence whereby several individuals in our ruling elite have gone back to the old Norse faith, rejecting Christianity as a corrupt Southern religion. We could ourselves adopt this religion on behalf of the country.;;;;;;;;;;;;;
embrace_old_rome_title;Embrace the Old Faith;;;;;;;;;;;;;
embrace_old_rome_desc;Having successfully created a new Roman Empire we are now witnessing a dynamic revival of its culture. This has led to a curious occurence whereby several individuals in our ruling elite have gone back to the old Roman faith, rejecting Christianity as a corrupt religion. We could ourselves adopt this religion on behalf of the country.;;;;;;;;;;;;;
encourage_old_faith_title;Encourage Conversion to Paganism;;;;;;;;;;;;;
encourage_old_faith_desc;We could allocate some money to fund a program to encourage our subjects to convert to our religion.;;;;;;;;;;;;;
encourage_old_faith_mod;Encouraging Pagan Conversion;;;;;;;;;;;;;
encourage_old_faith_mod_desc;We are encouraging our subjects to convert to our pagan beliefs.;;;;;;;;;;;;;
form_rome_title;A New Rome;;;;;;;;;;;;;
form_rome_desc;As an Italian great power in posession of Rome we are in a position to create a new Roman Empire based on its ancient and glorious values and the new ideas of the modern world.;;;;;;;;;;;;;
sugar;Sugar;;;;;;;;;;;;;
spices;Spices;;;;;;;;;;;;;
forced_abolitionmod;Forced Abolition;;;;;;;;;;;;;
forced_abolitionmod_desc;We were forced by a foreign nation to abolish slavery.;;;;;;;;;;;;;
french_third_republic_title;The Third Republic!;;;;;;;;;;;;;
french_third_republic_desc;After the recent defeat the Second Empire got destabilized and people have lost their faith in France ever becoming as strong as under the rule of the great Napoleon Bonaparte. With no other choice we have to declare the state a democracy once again, the third in the history of our nation.;;;;;;;;;;;;;
