Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#Additional Decisions;;;;;;;;;;;;;;
rgo_change_mining_title;Change Mining RGO;;;;;;;;;;;;;
rgo_change_mining_desc;Allows the switching of a single RGO province of the following types: Coal, Iron, Sulphur, or Precious Metal into Coal, Iron, or Sulphur. Causes a cooldown of 25 years.;;;;;;;;;;;;;
rgo_change_agriculture_title;Change Agriculture RGO;;;;;;;;;;;;;
rgo_change_agriculture_desc;Allows the switching of a single RGO province of the following types: Grain, Fruit, Fish, Cattle, Wool, Cotton, Timber, or Precious Goods into Grain, Fruit, Fish, Cattle, Wool, Cotton, or Timber. Causes a cool down of 12.5 years.;;;;;;;;;;;;;
infamy_for_growth_selector_title;Commence a Population Growth Campaign;;;;;;;;;;;;;
infamy_for_growth_selector_desc;Start a campaign to trade infamy & tax-effiency reduction in-exchange for more overall pop-growth.;;;;;;;;;;;;;
infamy_for_growth_modifier_removal_title;Stop the ongoing Population Campaign;;;;;;;;;;;;;
infamy_for_growth_modifier_removal_desc;Cancel the current ongoing growth campaign.;;;;;;;;;;;;;
#Pop Growth Campaigns;;;;;;;;;;;;;;
create_league_nations_title;Create League of Nations;;;;;;;;;;;;;
create_league_nations_desc;The League of Nations. was the first worldwide intergovernmental organisation whose principal mission was to maintain world peace. It was founded on 10 January 1920 following the Paris Peace Conference that ended the First World War; in 1919 U.S. president Woodrow Wilson won the Nobel Peace Prize for his role as the leading architect of the League.;;;;;;;;;;;;
join_league_nations_title;Join League of Nations;;;;;;;;;;;;;
join_league_nations_desc;We have the opportunity to join the League of Nations;;;;;;;;;;;;;
leave_league_nations_title;Leave League of Nations;;;;;;;;;;;;;
leave_league_nations_desc;The sweep change of our government allow us to leave the League of Nations;;;;;;;;;;;;;
treaties_of_rome_title;Treaties of Rome;;;;;;;;;;;;;
treaties_of_rome_desc;The Treaties of Rome were a set of three international treaties signed on 18 May 1941 by the Independent State of Croatia and Kingdom of Italy at the Palazzo Venezia in Rome. The most important provisions in the treaties referred to the borders between the two states, as they allowed the creation of the Italian Governorate of Dalmatia, carved out of the occupied Yugoslav territory following the April 1941 invasion of Yugoslavia.;;;;;;;;;;;;;
the_april_war_title;Invasion of Yugoslavia;;;;;;;;;;;;;
the_april_war_desc;The Invasion of Yugoslavia, also known as the April War or Operation 25, was a German-led attack on the Kingdom of Yugoslavia by the Axis powers which began on 6 April 1941 during World War II. The order for the invasion was put forward in "Führer Directive No. 25", which Adolf Hitler issued on 27 March 1941, following the Yugoslav coup d'état.;;;;;;;;;;;;;
leave_alliance_nato;Leave NATO;;;;;;;;;;;;;
leave_alliance_nato_title;Leave NATO;;;;;;;;;;;;;
leave_alliance_nato_desc;We shall foster an independent defence by removing our fleets from NATO command.All armed forces will be removed from NATO's integrated military command, and all NATO troops were asked to leave our country.;;;;;;;;;;;;;
form_benelux_title;Form the Benelux;;;;;;;;;;;;;
form_benelux_desc;Due to our hegemonic nature over our Low Countries Neighbour, a union of The Netherlands, Belgium, and Luxembourg can be achieved, the name originating from a combination of the first letters of each nation's name. The Benelux central administrative will be located in $CAPITAL$..;;;;;;;;;;;;;
form_yugoslavia_title;Form Yugoslavia;;;;;;;;;;;;;
form_yugoslavia_desc;The Slavic peoples of the Balkans must be united under a single banner: ours. It is the only way to keep us free of rule from European powers.;;;;;;;;;;;;;
