Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
SWN;Sweden-Norway;;;;;;;;;;;;;
SWN_ADJ;Swedish-Norwegian;;;;;;;;;;;;;
SWN_absolute_monarchy;Sweden-Norway;;;;;;;;;;;;;
SWN_absolute_monarchy_ADJ;Swedish-Norwegian;;;;;;;;;;;;;
SWN_hms_government;Sweden-Norway;;;;;;;;;;;;;
SWN_hms_government_ADJ;Swedish-Norwegian;;;;;;;;;;;;;
SWN_democracy;Republic of Sweden and Norway;;;;;;;;;;;;;
SWN_democracy_ADJ;Swedish-Norwegian;;;;;;;;;;;;;
SWN_proletarian_dictatorship;Peoples Republic of Sweden-Norway;;;;;;;;;;;;;
SWN_proletarian_dictatorship_ADJ;Swedish-Norwegian;;;;;;;;;;;;;
SWN_fascist_dictatorship;Greater Sweden-Norway;;;;;;;;;;;;;
SWN_fascist_dictatorship_ADJ;Swedish-Norwegian;;;;;;;;;;;;;
EVTOPTA79094;The war with Denmark has ended and now we are forming a union with Norway.;;;;;;;;;;;;;
form_sweden-norway_title;Form the Sweden-Norway;;;;;;;;;;;;;
form_sweden-norway_desc;Time will tell us that forming the Sweden-Norway union will be very beneficial;;;;;;;;;;;;;
SWN_conservative;Konservativa Partiet;Konservativa Partiet;Konservativa Partiet;;Konservativa Partiet;;;;;;;;;
SWN_liberal;Liberala Partiet;Liberala Partiet;Liberala Partiet;;Liberala Partiet;;;;;;;;;
SWN_socialist;Socialdemokraterna;Socialdemokraterna;Socialdemokraterna;;Socialdemokraterna;;;;;;;;;
SWN_conservative_2;Sveriges Agrarf顤bund ;Sveriges Agrarf顤bund ;Sveriges Agrarf顤bund ;;Sveriges Agrarf顤bund ;;;;;;;;;
SWN_conservative_3;Bondef顤bundet ;Bondef顤bundet ;Bondef顤bundet ;;Bondef顤bundet ;;;;;;;;;
SWN_liberal_2;Nya Landtmannapartiet;Nya Landtmannapartiet;Nya Landtmannapartiet;;Nya Landtmannapartiet;;;;;;;;;
SWN_communist;Socialdem. V鄚sterpartiet;Socialdem. V鄚sterpartiet;Socialdem. V鄚sterpartiet;;Socialdem. V鄚sterpartiet;;;;;;;;;
SWN_liberal_3;Landtmannapartiet ;Landtmannapartiet ;Landtmannapartiet ;;Landtmannapartiet ;;;;;;;;;
SWN_liberal_4;Gamla Landtmannapartiet;Gamla Landtmannapartiet;Gamla Landtmannapartiet;;Gamla Landtmannapartiet;;;;;;;;;
SWN_conservative_4;Alm鄚na Valmansf顤bundet;Alm鄚na Valmansf顤bundet;Alm鄚na Valmansf顤bundet;;Alm鄚na Valmansf顤bundet;;;;;;;;;
SWN_conservative_5;Sveriges Agrarf顤bund ;Sveriges Agrarf顤bund ;Sveriges Agrarf顤bund ;;Sveriges Agrarf顤bund ;;;;;;;;;
SWN_liberal_5;Landtmannapartiet ;Landtmannapartiet ;Landtmannapartiet ;;Landtmannapartiet ;;;;;;;;;
SWN_liberal_6;Liberala Samlingspartiet;Liberala Samlingspartiet;Liberala Samlingspartiet;;Liberala Samlingspartiet;;;;;;;;;
SWN_reactionary;Nationalistpartiet;Nationalistpartiet;Nationalistpartiet;;Nationalistpartiet;;;;;;;;;
SWN_anarcho_liberal;Anti-revoultion酺a partiet;Anti-revoultion酺a partiet;Anti-revoultion酺a partiet;;Anti-revoultion酺a partiet;;;;;;;;;
SWN_fascist;Nationalsocialistiska Blocket;Nationalsocialistiska Blocket;Nationalsocialistiska Blocket;;Nationalsocialistiska Blocket;;;;;;;;;
