Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
townshend_act_desc;Charles Townshend, after whom this act is named, has devised a cunning plan to address both economic and political difficulties we have encountered in our dealings with our American colonies recently through the use of new colonial authorities and taxes.;;;;;;;;;;;;;
townshend_act_mod_thc;Townshend Act;;;;;;;;;;;;;
townshend_act_mod_thc_desc;Townshend Act;;;;;;;;;;;;;
trade_restrictions;Trade Restrictions;Restrictions commerciales;Handelsbeschränkungen;;Restricciones comerciales;;;;;;;;;
desc_trade_restrictions;Our country has a policy of regulating and banning certain imports and exports.;Notre pays régule et interdit certaines importations et exportations.;Es ist die Politik unseres Landes, gewisse Im- und Exporte zu regulieren und zu unterbinden.;;Nuestro país tiene la política de regular y prohibir ciertas importaciones y exportaciones.;;;;;;;;;
trade_union;Trade Unions;Trade Unions;Trade Unions;;Trade Unions;;;;;;;;;
desc_trade_union;Workers have joined forces and created a trade union in your province.;Les salariés de votre province ont uni leurs forces pour créer un syndicat.;Die Arbeiter haben sich zusammengeschlossen und eine Gewerkschaft in Ihrer Provinz gegründet.;;Los trabajadores han unido sus fuerzas y han creado un sindicato en tu provincia.;;;;;;;;;
traditional_academic;Traditional Academia;Académie traditionnelle;Traditionelle Wissenschaftswelt;;Academia tradicional;;;;;;;;;
trail_of_tears_title;The Trail of Tears;La piste des larmes;Der Pfad der Tränen;;La senda de las lágrimas;;;;;;;;;
trail_of_tears_desc;The 'Trail of Tears' is the English rendition of the Cherokee name for the forced relocation of the greater Cherokee nation from its homelands in the south-eastern United States - Georgia, Tennessee, Alabama, etc. - to the newly established Indian territories in Oklahoma. By the Indian Removal Act of 1830, enacting this decision lies within our prerogative.;La 'piste des larmes' est l'interprétation française du nom donné par les Cherokee à la délocalisation forcée de leur nation, de sa terre natale située au sud-est des Etats-Unis (Géorgie, Tennesseen, Alabama, etc.) jusqu'aux nouveaux territoires indiens établis en Oklahoma. D'après l'Indian Removal Act de 1830, cette décision fait partie de nos prérogatives.;Der Pfad der Tränen ist die Übersetzung des Cherokee-Ausdrucks für die erzwungene Umsiedlung der Cherokee-Nation aus ihrem Heimatland in den südöstlichen USA - Georgia, Tennessee, Alabama, etc. - in die neu erstellten Indianerterritorien in Oklahoma. Gemäß dem Indian Removal Act von 1830 ist die Ausführung dieser Entscheidung unser Recht.;;Senda de las lágrimas es la traducción al inglés del nombre cherokee de la reubicación forzosa de la gran nación Cherokee desde su patria original en el sudeste de los Estados Unidos -Georgia, Tennessee, Alabama, etc- a los nuevos territorios indios de Oklahoma. Según el Acta de extracción india de 1830, poner esta decisión en práctica es prerrogativa nuestra.;;;;;;;;;
treaties_of_velasco;Treaties of Velasco;;;;;;;;;;;;;
treaties_of_velasco_desc;The treaties may be worth less than the paper they're printed on, but they supposedly offer us a guarantee of independence from Mexico. We shall see if they last.;;;;;;;;;;;;;
treaty_of_aigun_title;The Treaty of Aigun;;;;;;;;;;;;;
treaty_of_aigun_desc;The time has come to approach the Chinese, and make our demand that they turn over northern Manchuria to us. It is the only way there will be peace.;;;;;;;;;;;;;
Treaty_of_Alliance_title;Treaty of Alliance;Treaty of Alliance;Treaty of Alliance;;;;;;;;;;;
