Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
small_country_draft;Small Country Draft;;;;;;;;;;;;;
patriot_uprising;Patriot Uprising;;;;;;;;;;;;;
peasant_revolt;Peasant Revolt;;;;;;;;;;;;;
colonial_chaos;Colonial Chaos;;;;;;;;;;;;;
loss_of_control;Loss of Control;;;;;;;;;;;;;
three_five_anti_campaigns;Three Five Anti Campaigns;;;;;;;;;;;;;
great_leap_forward;Great Leap Forward;;;;;;;;;;;;;
cultural_revolution;Cultural Revolution;;;;;;;;;;;;;
decollectivization_of_agriculture;Decollectivization of Agriculture;;;;;;;;;;;;;
chinese_economic_boom;Chinese Economic Boom;;;;;;;;;;;;;
secret_service;Secret Service;;;;;;;;;;;;;
secret_service_job;Secret Service Job;;;;;;;;;;;;;
generic_neutrality;Generic Neutrality;;;;;;;;;;;;;
occupied_province;Occupied Province;;;;;;;;;;;;;
lucky_nation;Lucky Nations;;;;;;;;;;;;;
soviet_puppet;Soviet Puppet;;;;;;;;;;;;;
new_world_colonies;New World Colonies;;;;;;;;;;;;;
