Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
treaty_of_tarbagatai_title;Treaty of Tarbagatai;;;;;;;;;;;;;
treaty_of_tarbagatai_desc;Treaty of Tarbagatai was a border protocol between China and Russia that defined most of the western extent of their border in central Asia, between Outer Mongolia and the Khanate of Kokand.;;;;;;;;;;;;;
IGNORE_DECISION_ON;This decision is set to NOT notify the player when it is available to be taken. Click to change notification status.!;;;;;;;;;;;;;
IGNORE_DECISION_OFF;This decision is set to notify the player when it is available to be taken. Click to change notification status.!;;;;;;;;;;;;;
SM_WINDOW;Window mode;;;;;;;;;;;;;
SM_WINDOWED;Windowed;;;;;;;;;;;;;
SM_FULLSCREEN;Fullscreen;;;;;;;;;;;;;
SM_BORDERLESS;Borderless;;;;;;;;;;;;;
tribal_monarchy;Tribal Monarchy;;;;;;;;;;;;;
tribal_monarchy_ruler;King;;;;;;;;;;;;;
form_american_republics_title;Form the Union of Collective American States;;;;;;;;;;;;;
form_american_republics_desc;As the sole country in North America who has immense power over all our neighbours as well the whole American continent, we can propose a superstate composed of the whole American continent countries in a collective union led by us.;;;;;;;;;;;;;
mormon;Mormon;;;;;;;;;;;;;
mormon_rebels_title;Mormon Rebels;;;;;;;;;;;;;
mormon_rebels_name;Mormon Rebels;;;;;;;;;;;;;
mormon_rebels_desc;Mormons rebels are Mormons who, feeling oppressed by the Protestant and Catholic majority, have risen up to protect their religion.;;;;;;;;;;;;;
mormon_rebels_army;$COUNTRY_ADJ$ Mormon Rebels;;;;;;;;;;;;;
MIL_FROM_TROOPS;Soldiers & Army;Soldats et Armée;Soldaten & Armee;;;;;;;;;;;
establish_a_unified_communist_greece_title;Establish a unified communist Greece.;;;;;;;;;;;;;
establish_a_unified_communist_greece_desc;Now that the proletariate of greece has won the civil war, we can establish complete rule in all of Greece.;;;;;;;;;;;;;
persecute_other_religion_title;Persecute other religion.;;;;;;;;;;;;;
persecute_other_religion_desc;We have won the war, we can get rid of any heretical cults that are contrary to our beliefs and was once oppress us.;;;;;;;;;;;;;
persecute_the_undesirables_title;Persecute the undesirables.;;;;;;;;;;;;;
persecute_the_undesirables_desc;The undesirable ethnic and religious group in our glorious southern states intensified the needs of our populace to remove and persecute the undesirables.;;;;;;;;;;;;;
reestablish_the_southern_states_title;Reestablish the Southern States.;;;;;;;;;;;;;
reestablish_the_southern_states_desc;We as a dixies and now that we are victorious in our war of struggle against the yankees, have been obliged by the will of the people to reestablish the once great historical southern states of the CSA.;;;;;;;;;;;;;
reorganize_alaska_title;Reorganize Alaska;;;;;;;;;;;;;
reorganize_alaska_desc;Tedious journey and effort has been made to colonize parts of northwest North America, now we can rearrange the region to better suit our needs.;;;;;;;;;;;;;
form_the_kingdom_of_northern_italy_title;Form the Kingdom of Northern Italy;;;;;;;;;;;;;
form_the_kingdom_of_northern_italy_desc;Kingdom of Northern Italy is a state in northern Italian peninsula composed of the Northern Italian states, now that we are sufficient enough, we can form it to unite our Northern Italian brethren;;;;;;;;;;;;;
EVTNAME6016807;Crisis;;;;;;;;;;;;;
EVTDESC6016807;The system of Crisis sometimes end with weird scenarios in the game start or too early in the game, like crisis for the liberation of Greece and Egypt in 1640. To counter that, there is an option to remove unhistorical countries cores in the decision tab and crisis (non colonial crisis at least) are locked until someone researches revolution and counter-revolution in 1870. If you'd like, you can change that now and have the crisis be unlocked from now on, like it is in Vanilla.;;;;;;;;;;;;;
EVT6016807PTA;Keep crisis locked until 1870.;;;;;;;;;;;;;
EVT6016807PTB;Let crisis be unlocked from now on, like in Vanilla.;;;;;;;;;;;;;
AGRESSION_;War of Aggression;;;;;;;;;;;;;
SPLITINHALF;Split in Half;;;;;;;;;;;;;
InvadePrussia_title;Invade Prussia;;;;;;;;;;;;;
InvadePrussia_desc;Our domination of Europe has complete, it is time to kick the Prussians out before they attack.;;;;;;;;;;;;;
remove_protector_title;Denounce our title as protector of eastern Christians;;;;;;;;;;;;;
remove_protector_desc;The current change of regime allow us to remove our title as the protector of Eastern Orthodox Christians.;;;;;;;;;;;;;
order_44_title;Order 44;;;;;;;;;;;;;
order_44_desc;Order 44 is an order by Nobusuke Kishi after taking the Japanese leadership to purge his opponents.;;;;;;;;;;;;;
EVTNAME66689;Lucky Nations;;;;;;;;;;;;;
EVTDESC66689;Sometimes in this world, nations seem to be blessed by God in certain periods. Their leaders are brilliant, their people are hardy, they excel in warfare, produce amazing works of culture, and their economies boom. Do we live in such a world? If Lucky Nations are turned on, ten random civilized nations who are not Great Powers and five random uncivilized nations will be given special bonuses that will enable them to shake up the status quo of the world by giving them significant bonuses.;;;;;;;;;;;;;
EVTOPTA66689;Turn Lucky Nations On.;;;;;;;;;;;;;
EVTOPTB66689;Keep Lucky Nations Off.;;;;;;;;;;;;;
gtfo_on_title;Enable 'Release Vassal' decisions;;;;;;;;;;;;;
gtfo_on_desc;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;;
gtfo_off_title;Disable 'Release Vassal' decisions;;;;;;;;;;;;;
gtfo_off_desc;Your decision list will now be uncluttered!;;;;;;;;;;;;;
gtfo_disabled_title;Deactivate 'Release Vassal' decisions;;;;;;;;;;;;;
gtfo_disabled_desc;The 'Release Vassal' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;;
EVT6669900DESC;This is a test setup event. The purpose of this event will be revealed if you click OK. You can choose not to have the setups be made if you wish to. Its optional and i haven't quite testing it out througly. Certain start dates still has empty setup flags to it, considering its still work in progress. I have plans to keep updating it. If you accidentally clicked it please reload the campaign or choose the "no" option inside each start dates event.;;;;;;;;;;;;;
EVT6669901DESC;Choose the start date you currently play. An idea occur to me when i find that the way the original devs of the Ultimate mod try to setup several things in the mod by using a decision, namely in the file Ultimate - Scenario Starters decision, which are frankly more prone to some undetected and horrendous bug mistakes caused by simple line issue, such as the bubbling pops bugs and cores related issues which i tiresomely find and fix in that decision file. So now in the meantime, this test setup event will at least fix the remaining bugs that occur in the mod. THIS IS STILL TEMPORARY. Give feedbacks on what to add next.;;;;;;;;;;;;;
EVT_8215000_NAME;The Western Allies;;;;;;;;;;;;;
EVT_8215000_DESC;The Allies of World War II were the countries that opposed the Axis powers during the Second World War. The Allies became involved in World War II either because they had already been invaded, were directly threatened with invasion by the Axis or because they were concerned that the Axis powers would come to control the world.;;;;;;;;;;;;;
EVT_8215000_A;OK;;;;;;;;;;;;;
EVT_8215000_B;No need to stay Allied;;;;;;;;;;;;;
establish_west_germany_title;Establish West Germany;;;;;;;;;;;;;
establish_west_germany_desc;West Germany is the state that existed in 1949 short for the Federal Republic of Germany (German: Bundesrepublik Deutschland;), in the period between its formation on 23 May 1949 and German reunification on 3 October 1990. During this Cold War period, the western portion of Germany was part of the Western Bloc.;;;;;;;;;;;;
establish_west_germany_uk_fra_desc;West Germany is the state that existed in 1949 short for the Federal Republic of Germany (German: Bundesrepublik Deutschland), in the period between its formation on 23 May 1949 and German reunification on 3 October 1990. During this Cold War period, the western portion of Germany was part of the Western Bloc.;;;;;;;;;;;;;
establish_ddr_title;Establish East Germany;;;;;;;;;;;;;
establish_ddr_desc;East Germany, officially the German Democratic Republic (GDR; German: Deutsche Demokratische Republik), was a country that existed from 1949 to 1990, the period when the eastern portion of Germany was part of the Eastern Bloc during the Cold War which and part of the Soviet zone of influence;;;;;;;;;;;;
form_asean_title;Form ASEAN;;;;;;;;;;;;;
form_asean_desc;The Association of Southeast Asian Nations is a regional intergovernmental organization comprising ten countries in Southeast Asia, which promotes intergovernmental cooperation and facilitates economic, political, security, military, educational, and sociocultural integration among its members and other countries in Asia.;;;;;;;;;;;;;
form_african_union_title;Form African Union;;;;;;;;;;;;;
form_african_union_desc;The African Union (AU) is a continental union consisting of 55 member states located on the continent of Africa. The AU was announced in the Sirte Declaration in Sirte, Libya, on 9 September 1999, calling for the establishment of the African Union. The bloc was founded on 26 May 2001 in Addis Ababa, Ethiopia, and launched on 9 July 2002 in Durban, South Africa.;;;;;;;;;;;;;
POLITICS_MATTERS_OF_STATE;Matters of State;;;;;;;;;;;;;
matters_of_state;Matters of State;;;;;;;;;;;;;
option_disable_bankruptcy_events_title;Option: Disable the Bankruptcy Events (From HPM);;;;;;;;;;;;;
option_disable_bankruptcy_events_desc;Disabling the Bankruptcy events will stop you from getting the CB and effects that happen when a country goes bankrupt on you. It won't stop the event for the AI nor will stop countries going bankrupt.;;;;;;;;;;;;;
option_disable_hpm_crisis_title;Option: Enable Crisis from the Start (From HPM);;;;;;;;;;;;;
option_disable_hpm_crisis_desc;In HPM, crisis only start after 1870 and after Revolution and Counter-revolution is researched and an event fires. This is to stop stuff like free Ireland in 1840 because of the militancy that the famine generates, among other weird crisis. Selecting this option will remove these restrictions and make crisis happen from the start of the game, like it happens in Vanilla Victoria 2.;;;;;;;;;;;;;
option_disable_workplace_events_title;Option: Disable Workplace Events (From HPM);;;;;;;;;;;;;
option_disable_workplace_events_desc;A few province events related to the workplace, such as "The Old Man and the Sea", "All the Tea in PROVINCENAME" and "Blood and Iron Mine" can get quite spammy. I increased the MTTH and tried to balance it out, adding more requirements, but if you still find it spammy, you can use this option to completely disable them. Keep in mind that I didn't test balance with these events disabled or anything like this, and this might help improve performance a little bit. A few events that only trigger because you have no or low workplace safety standards are still in though. Pass workplace reforms if you want to get rid of them.;;;;;;;;;;;;;
DisableCheatsForever_title;Disable Cheats Forever;;;;;;;;;;;;;
DisableCheatsForever_desc;Click this option just in case you want to disable cheats option. To be honest its functions is just to spice the campaign a little bit as a compensation for some of the unbalanced mechanics the mod offers. Click here and an option will pop up if you want to confirm it.;;;;;;;;;;;;;
always_has_been_title;Space Colonists Nerf;;;;;;;;;;;;;
always_has_been_desc;This is a decision to nerf space colonists pops in earlier start dates, it will pop up whenever your country has a space colonists in any of the provinces. Made one for the ai too. Currently i haven't made tweaks to the pops so that it doesn't grow since its quite a hassle. so this is a decision to do the job;;;;;;;;;;;;;
