Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
SM_DETAILS;Details;;Details;;;;;;;;;;;
DISBAND_ALL;Disband all selected units;;Alle ausgewählten Einheiten auflösen;;;;;;;;;;;
DISBAND_ALL_TITLE;Disband all units;;Alle Einheiten auflösen;;;;;;;;;;;
DISBAND_ALL_DESC;Are you sure that you want to §RDISBAND§! §Y$NUM$§! units?;;Seid Ihr sicher, dass Ihr §Y$NUM$§! Einheiten §RAUFLÖSEN§! wollt?;;;;;;;;;;;
DATE_DIFF_A;$Y$ years, $M$ months and $D$ days;;$Y$ Jahre, $M$ Monat) und $D$ Tage;;;;;;;;;;;
DATE_DIFF_B;$M$ months and $D$ days;;$M$ Monate und $D$ Tage;;;;;;;;;;;
DATE_DIFF_C;$D$ days;;$D$ Tage;;;;;;;;;;;
TORPEDO_ATTACK;Torpedo Attack;;Torpedo-Angriff;;;;;;;;;;;
TORPEDO_ATTACK_DESC;Torpedo attacks do extra damage against larger ships.;;Torpedo-Angriffe richten gegen größere Schiffe mehr Schaden an.;;;;;;;;;;;
NAVAL_COMBAT_STACK_PENALTY_DESC;§YCoordination penalty §R$PEN$%§Y caused by poor communication in the fleet, it makes it more difficult for our ships to find targets. Affected by amount of our ships and potential targets.§!;;§YKoordinations-Malus §R$PEN$%§Y, der durch mangelhafte Kommunikation in der Flotte verursacht wird, wodurch es für unsere Schiffe schwieriger ist, Ziele zu finden. Wird durch die Schiffsanzahl und mögliche Ziele beeinflusst.§!;;;;;;;;;;;
BP_TAB_CURRENT;Current Plans;;Aktuelle Pläne;;;;;;;;;;;
BP_TAB_HISTORICAL;Historical Plans;;Historische Pläne;;;;;;;;;;;
BP_TOOL_COLOR_RED;Red;;Rot;;;;;;;;;;;
BP_TOOL_COLOR_GREEN;Green;;Grün;;;;;;;;;;;
BP_TOOL_COLOR_BLUE;Blue;;Blau;;;;;;;;;;;
BP_TOOL_COLOR_YELLOW;Yellow;;Gelb;;;;;;;;;;;
BP_TOOL_ARROW_SLIM;Slim Arrow;;Dünner Pfeil;;;;;;;;;;;
BP_TOOL_ARROW_MEDIUM_1;Medium Arrow 1;;Mittelgroßer Pfeil 1;;;;;;;;;;;
BP_TOOL_ARROW_MEDIUM_2;Medium Arrow 2;;Mittelgroßer Pfeil 2;;;;;;;;;;;
BP_TOOL_ARROW_MEDIUM_3;Medium Arrow 3;;Mittelgroßer Pfeil 3;;;;;;;;;;;
BP_TOOL_ARROW_THICK;Thick Arrow;;Dicker Pfeil;;;;;;;;;;;
BP_TOOL_BORDER_1;Border type 1;;Grenztyp 1;;;;;;;;;;;
BP_TOOL_BORDER_2;Border type 2;;Grenztyp 2;;;;;;;;;;;
BP_TOOL_BORDER_3;Border type 3;;Grenztyp 3;;;;;;;;;;;
BP_TOOL_BORDER_4;Border type 4;;Grenztyp 4;;;;;;;;;;;
BP_TOOL_BORDER_5;Border type 5;;Grenztyp 5;;;;;;;;;;;
BP_TOOL_ICON_AIRPLANE;Airplane icon;;Flugzeug-Symbol;;;;;;;;;;;
BP_TOOL_ICON_TANK;Tank icon;;Panzer-Symbol;;;;;;;;;;;
