Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
SIEGE_EXTRA_ATTR;§R+$VAL$%§W attrition from resistance to the occupation;;§R+$VAL$%§W Zermürbung durch Widerstand gegen die Besetzung;;;;;;;;;;;
NO_SEPARATE_PEACE_CRISIS;We cannot negotiate separate peace in a crisis war;;Wir können in einem Konfliktkrieg keinen separaten Frieden verhandeln ;;;;;;;;;;;
CRISIS_RESOLUTION_EFFECTS;Resolving the crisis in this way will give you $VAL$ prestige.;;Die Beilegung des Konflikts auf diese Weise wird Euch $VAL$ Prestige geben.;;;;;;;;;;;
CRISIS_RESOLUTION_RELATIONS;Relations with the following countries will change:;;Die Beziehungen mit folgenden Ländern werden sich ändern:;;;;;;;;;;;
hussar_activation;Hussars;;Husaren;;;;;;;;;;;
hussar_activation_desc;Hussar refers to a number of types of light cavalry which originated in Hungary during the 15th century. The title and distinctive dress of these horsemen was subsequently widely adopted by light cavalry regiments in European and other armies. The hussars played a prominent role as cavalry in the Napoleonic Wars. As light cavalrymen mounted on fast horses, they would be used to fight skirmish battles and for scouting. ;;Husaren sind eine leichte Kavallerie-Einheit, die ihren Ursprung im 15. Jahrhundert in Ungarn hat. Ihre Bezeichnung und die charakteristische Kleidung dieser Reiter wurde in der Folgezeit weitgehend von leichten Kavallerie-Regimentern in Europa und anderen Armeen übernommen. Die Husaren spielten als Kavallerie in den Napoleonischen Kriegen eine wichtige Rolle. Diese leichte Kavallerie auf schnellen Pferden wurde in Gefechten und zur Erkundung eingesetzt.;;;;;;;;;;;
SIEGE;Siege;;Belagerung;;;;;;;;;;;
TRANSFER_SUB_ALL;§GShift + LMB§! to transfer all of the same type.;;§GUmschalttaste + LMT§!, um alle vom selben Typ zu transferieren.;;;;;;;;;;;
OBSOLETE_UNIT_TECH;§Y$UNIT$§W was made obsolete by §Y$TECH$§W;;§Y$UNIT$§W wurde durch §Y$TECH$§W hinfällig;;;;;;;;;;;
ARMY_RECON_TOOLTIP;Recon Efficiency: §Y$VAL$§!%;;Aufklärungs-Effizienz: §Y$VAL$§!%;;;;;;;;;;;
ARMY_RECON_DELAYED_TOOLTIP;Recon Efficiency is the ability of this army's scouts to reduce the dig-in bonus of enemy armies and speed up sieges.\n\nThis army contains §Y$RECONUNITS$§! recon brigades out of a needed §Y$RECONMAXUNITS$§!, giving it a Recon Efficiency of §Y$VAL$%§!.;;Aufklärungs-Effizienz ist die Fähigkeit der Späher dieser Armee, den Eingraben-Bonus feindlicher Armeen zu reduzieren und Belagerungen zu beschleunigen.\n\nDiese Armee enthält §Y$RECONUNITS$§! Aufklärungs-Einheiten von benötigten §Y$RECONMAXUNITS$§! und gibt eine Aufklärungs-Effizienz von §Y$VAL$%§!.;;;;;;;;;;;
ARMY_ENGINEER_TOOLTIP;Siege Efficiency: §Y$VAL$§!%;;Belagerungs-Effizienz: §Y$VAL$§!%;;;;;;;;;;;
ARMY_ENGINEER_DELAYED_TOOLTIP;Siege Efficiency is the ability of this army's engineers and tanks to reduce the effectiveness of enemy forts when attacking and sieging.\n\nThis army contains §Y$ENGINEERUNITS$§! engineer and tank brigades out of a needed §Y$ENGINEERMAXUNITS$§!, giving it a Siege Efficiency of §Y$VAL$%§!.;;Die Belagerungs-Effizienz ist die Fähigkeit der Ingenieure und Panzer dieser Armee, die Effektivität feindlicher Festungen bei Angriffen und Belagerungen zu reduzieren.\n\nDiese Armee enthält §Y$ENGINEERUNITS$§! Ingenieurs- und Panzereinheiten von benötigten §Y$ENGINEERMAXUNITS$§! und gibt eine Belagerungs-Effizienz von §Y$VAL$%§!.;;;;;;;;;;;
TENSION_DECAY;Base Decay: §Y$VAL$§!;;Basis-Zerfall: §Y$VAL$§!;;;;;;;;;;;
TENSION_FROM_GP_WARS;Great Powers at War: §Y$VAL$§!;;Im Krieg befindliche Großmächte: §Y$VAL$§!;;;;;;;;;;;
TENSION_FROM_GP_DISARMED;Disarmed Great Powers: §Y$VAL$§!;;Entwaffnete Großmächte:  §Y$VAL$§!;;;;;;;;;;;
TENSION_FROM_GP_RANK;Great Power Ranking: §Y$VAL$§!;;Großmächte-Wertung: §Y$VAL$§!;;;;;;;;;;;
HAS_NOT_CULTURAL_SPHERE;Does NOT have a cultural sphere;;besitzt KEINEN kulturellen Einflussbereich;;;;;;;;;;;
HAS_CULTURAL_SPHERE;Has a cultural sphere;;besitzt einen kulturellen Einflussbereich;;;;;;;;;;;
LOAD_SAVEGAME_FAIL;Failed to load the savegame.;;Laden des gespeicherten Spielstandes fehlgeschlagen.;;;;;;;;;;;
NEWS_TOOLTIP_UNREAD;You have §G$NUM$§! unread newspapers out of §G$MAX$§! printed.;;Ihr habt §G$NUM$§! ungelesene Zeitungen von §G$MAX$§! veröffentlichten.;;;;;;;;;;;
NEWS_TOOLTIP_NO_NEW;There are no unread newspapers.;;Es gibt keine neuen, ungelesenen Zeitungen.;;;;;;;;;;;
CRISIS_DAYS_UNTIL_WAR;War will break out in §Y$DAYS$§! days if a diplomatic solution is not found.;;In §Y$DAYS$§! Tag(en) wird Krieg ausbrechen, wenn keine diplomatische Lösung gefunden wird.;;;;;;;;;;;
REMOVEFROMSPHERE_COST_NO_INFAMY;This will cost §R$PRESTIGE$§! prestige;;Dies wird Euch §R$PRESTIGE$§! Prestige kosten;;;;;;;;;;;
REMOVEFROMSPHERE_COST;This will cost §R$PRESTIGE$§! prestige and give you §R$INFAMY$§! infamy;;Dies wird §R$PRESTIGE$§! Prestige kosten und Euch §R$INFAMY$§! Infamie einbringen;;;;;;;;;;;
REMOVEFROMSPHERE_DESC;Removes nation from a §YGreat Power§W's Sphere of Influence.;;Entfernt die Nation aus dem Einflussbereich einer §YGroßmacht§W.;;;;;;;;;;;
CRISIS_INTEREST;Their interest: §Y$VAL$§!;;Ihre Zinsen: §Y$VAL$§!;;;;;;;;;;;
CRISIS_MAKE_OFFER_INVALID;You must offer them something!;;Ihr müsst ihnen etwas anbieten!;;;;;;;;;;;
CRISIS_MAKE_OFFER_NOT_LEADER;You must be a leader in the crisis to make offers.;;Ihr müsst der Anführer in diesem Konflikt sein, um Angebote machen zu können.;;;;;;;;;;;
CRISIS_MAKE_OFFER;Make an offer to §Y$COUNTRY$§! to entice them to back your side.;;Macht §Y$COUNTRY$§! ein Angebot, um sie zu ködern, Euch Rückhalt zu geben. ;;;;;;;;;;;
CRISIS_AI_WANTS_TO_BACK_1;has not decided who to support.;;hat noch nicht entschieden, welche Seite sie unterstützen.;;;;;;;;;;;
CRISIS_AI_WANTS_TO_BACK_2;is leaning towards supporting;;neigt zur Unterstützung von;;;;;;;;;;;
CRISIS_AI_WANTS_TO_BACK_3;is strongly inclined to support;;neigt stark zur Unterstützung von;;;;;;;;;;;
CRISIS_AI_INTEREST;Their interest in supporting;;Ihr Interesse zur Unterstützung von;;;;;;;;;;;
AIREASON_STRATEGIC_INTERESTS;Strategic Interests;;Strategische Interessen;;;;;;;;;;;
AIREASON_BACKED_BY_ALLY;Backed by Ally;;Durch Bündnispartner unterstützt;;;;;;;;;;;
AIREASON_ALLY;Ally;;Bündnispartner;;;;;;;;;;;
AIREASON_TOO_EARLY_IN_CRISIS;Early in Crisis;;Zu früh im Konflikt;;;;;;;;;;;
AIREASON_CRISIS_OFFER;$WARGOAL$:;;$WARGOAL$:;;;;;;;;;;;
AIREASON_ATTACKING_ALLY;Attacking Ally;;Greift Bündnispartner an;;;;;;;;;;;
AIREASON_ATTACKING_FRIENDS;Attacking Friends;;Greift Freunde an;;;;;;;;;;;
AIREASON_ATTACKING_ENEMIES;Attacking Enemies;;Greift Feinde an;;;;;;;;;;;
