Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
claim_the_mandate_of_heaven_desc;To legitimize our rule over all of our Chinese subjects, we need to claim the Mandate of Heaven;;;;;;;;;;;;;
form_the_qing_empire_title;Form the Qing Empire;;;;;;;;;;;;;
form_the_qing_empire_desc;After uniting our Jurchens brethren, it is time to form our own empire that can match the Ming;;;;;;;;;;;;;
commision_another_voyage_to_the_west_title;Commission Another Voyage to the West.;;;;;;;;;;;;;
commision_another_voyage_to_the_west_desc;After the voyage of Zheng He, and with the now more increasing presence of westerners within our realm, we can commission another voyage expeditions to learn more about their way of life and possibly learn their technology.;;;;;;;;;;;;;
dissolve_sweden-norway_title;Dissolve the Sweden-Norway;;;;;;;;;;;;;
dissolve_sweden-norway_desc;The increasingly unpopular union between Sweden and Norway has steadily becoming a major problem, such probelm could erupt into bloody internal rebellions. We can however propose a peaceful resolution to dissolve our union with Norway.;;;;;;;;;;;;;
EVTNAME432764;Ming voyage succesfull!.;;;;;;;;;;;;;
EVTDESC432764;We have succesfully finish our voyage and bring knowledge, skills and goods from the west.;;;;;;;;;;;;;
South_German_confederation_form_title;Form South German Confederation;;;;;;;;;;;;;
South_German_confederation_form_desc;Now is time to organize south germans;;;;;;;;;;;;;
Expectacula_title;Claim India;;;;;;;;;;;;;
Expectacula_desc;India is ours;;;;;;;;;;;;;
unir_India_title;Create East Indian Company;;;;;;;;;;;;;
unir_India_desc;Is coronation time;;;;;;;;;;;;;
EIC;East India Company;East India Company;East India Company;;East India Company;;;;;;;;;
EIC_ADJ;East Indian;East Indian;East Indian;East Indian;;;;;;;;;;
KAM;Kamchatka;Kamchatka;Kamchatka;;Kamchatka;;;;;;;;;
KAM_ADJ;Kamchatkan;Kamchatkan;Kamchatkan;Kamchatkan;;;;;;;;;;
ASN;Asia Union;Asia Union;Asia Union;;Asia Union;;;;;;;;;
ASN_ADJ;Asian;Asian;Asian;Asian;;;;;;;;;;
GJE;Greater Japanese Empire;Greater Japanese Empire;Greater Japanese Empire;;Greater Japanese Empire;;;;;;;;;
GJE_ADJ;Japanese;Japanese;Japanese;Japanese;;;;;;;;;;
SIB;Siberian Republic;;Siberian Republic;;Siberian Republic;;Siberian Republic;;;;;;;
SIB_ADJ;Siberian;Siberian;Siberian;Siberian;;;;;;;;;;
URA;Ural Republic;Ural Republic;Ural Republic;;Ural Republic;;;;;;;;;
