Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
MIL_FROM_CAP_SHIPS;Capital Ships;Navires;Großkampfschiff;;;;;;;;;;;
MIL_FROM_LEADERS;Leaders;Dirigeants;Anführer;;;;;;;;;;;
OCCUPATION_SCORE;Occupation: ;Occupation : ;Besetzung:;;;;;;;;;;;
BLOCKADE_SCORE;Blockade: ;Blocus : ;Blockade:;;;;;;;;;;;
OUTLINER_TOOLTIP_EMPLOYED;§Y$COUNT$§! Employed in factories (§Y$PERC$§!%);§Y$COUNT$§ Employés en usines (§Y$PERC$§! %);§Y$COUNT$§! in (§Y$PERC$§!%) Fabriken eingestellt;;;;;;;;;;;
TRADE_SUPPLY_NEED_A;$VAL$ to supply army each day.\n;$VAL$ à fournir à l'armée chaque jour.\n;$VAL$ zur täglichen Versorgung der Armee.\n;;;;;;;;;;;
TRADE_SUPPLY_NEED_N;$VAL$ to supply navy each day.\n;$VAL$ à fournir à la marine chaque jour.\n;$VAL$ zur täglichen Versorgung der Marine.\n;;;;;;;;;;;
DIPLOMACY_CANNOT_SET_PRIO_WAR;We cannot influence this nation while we have a war with them.;Nous ne pouvons pas influencer cette nation tant que nous sommes en guerre contre elle.;Wir können diese Nation nicht beeinflussen, während wir einen Krieg gegen sie führen.;;;;;;;;;;;
DIPLOMACY_INFLUENCE_NOT_WORTH;We are already influencing this country at maximum, and there is no other country influencing it. No points are spent for now.;Nous influençons déjà ce pays au maximum et aucun autre pays ne l'influence. Aucun point n'est dépensé pour le moment.;Wir haben den Einfluss auf dieses Land bereits maximiert und kein anderes Land beeinflusst es. Es wurden keine Punkte ausgegeben.;;;;;;;;;;;
COLONY_ABORT_HEADER;When our colonization has been aborted.;Lorsque notre colonisation à été abandonnée;Sobald unsere Kolonisierung abgebrochen wurde.;;;;;;;;;;;
COLONY_ABORT_1;Colonization Aborted!;Abandon de la colonisation !;Kolonisierung Abgebrochen!;;;;;;;;;;;
COLONY_ABORT_2;$MONARCHTITLE$, our colony in;$MONARCHTITLE$, notre colonie en;$MONARCHTITLE$, unsere Kolonie in;;;;;;;;;;;
COLONY_ABORT_3;§Y$TARGET$§b.;§Y$TARGET$§b.;§Y$TARGET$§b.;;;;;;;;;;;
COLONY_ABORT_4;has been aborted!;a été abandonnée !;wurde vorzeitig abgebrochen!;;;;;;;;;;;
COLONY_ABORT_5;We can no longer colonize this region.;Nous ne pouvons plus coloniser cette région.;Wir können diese Region nicht länger kolonisieren.;;;;;;;;;;;
COLONY_ABORT_6;*;*;*;*;*;*;*;;;;;;;
COLONY_ABORT_BTN1;OK;D'accord;OK;*;Aceptar;*;*;;;;;;;
COLONY_ABORT_BTN2;OK;D'accord;OK;;Aceptar;;;;;;;;;
COLONY_ABORT_BTN3;Go to;Voir;Gehe zu;;Ir allí;;;;;;;;;
COLONY_ABORT_MAP;Colony Aborted!;Colonie abandonnée !;Kolonie abgebrochen!;;;;;;;;;;;
