Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PV_EXTERNAL_IMMIGRATION;External Migration: ;Immigration : ;Externe Migration: ;;;;;;;;;;;
COUNTRYALERT_CanRemoveFromSphere;We can remove nations from our §YSphere of Influence§!:;Nous pouvons sortir des pays de notre §YSphere of Influence§ !;Wir können Nationen aus unserer §YEinflusssphäre§! entfernen:;;;;;;;;;;;
PV_CLERGY_LIT_DESC1;$NUM$ of your population in $LOC$ are Clergy.;$NUM$ de votre population en $LOC$ sont ;$NUM$ unserer Bevölkerung in $LOC$ gehören dem Klerus an.;;;;;;;;;;;
PV_CLERGY_LIT_DESC2;Optimal is $OPT$.;L'idéal serait $OPT$.;Optimal sind $OPT$.;;;;;;;;;;;
PV_CLERGY_LIT_DESC3;Monthly change base value: $VAL$;Modification de base mensuelle : $VAL$;monatliche Grundveränderung: $VAL$;;;;;;;;;;;
IN_SOCIAL_MOVEMENT;in social movement;en mouvement social;in einer sozialen Bewegung;;;;;;;;;;;
NOT_IN_SOCIAL_MOVEMENT;not in social movement;pas en mouvement social;in keiner sozialen Bewegung;;;;;;;;;;;
IN_POLITICAL_MOVEMENT;in political movement;en mouvement politique;in einer politischen Bewegung;;;;;;;;;;;
NOT_IN_POLITICAL_MOVEMENT;not in political movement;pas en mouvement politique;in keiner politischen Bewegung;;;;;;;;;;;
TPG;Heavenly Kingdom;Royaume céleste;Himmlisches Königreich;;;;;;;;;;;
TPG_democracy;Taiping Republic;République de Taïwan;Taiping Republik;;;;;;;;;;;
TPG_bourgeois_dictatorship;Taiping Republic;République de Taïwan;Taiping Republik;;;;;;;;;;;
TPG_proletarian_dictatorship;Communist Taiping;Taïwan communiste;Kommunistisches Taiping;;;;;;;;;;;
TPG_fascist_dictatorship;Taiping;Taïwan;Taiping;;;;;;;;;;;
TPG_presidential_dictatorship;Taiping Clique;Clique taïwanaise;Taiping Clique;;;;;;;;;;;
TPG_ADJ;Taiping;taïwanais;Taiping;;;;;;;;;;;
