Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
form_dravidistan_desc;vamo manao!;;;;;;;;;;;;;
form_rajputana_title;formar la RAJPUTA;;;;;;;;;;;;;
form_rajputana_desc;vamo manao!;;;;;;;;;;;;;
form_rajputana_outside_title;BADRUM IN SAI;;;;;;;;;;;;;
form_rajputana_outside_desc;vamo manao!;;;;;;;;;;;;;
form_baluchistan_title;formar baluchi;;;;;;;;;;;;;
form_baluchistan_desc;vamo manao!;;;;;;;;;;;;;
form_baluchistan_agency_title;formar baluchi agenci;;;;;;;;;;;;;
form_baluchistan_agency_desc;vamo manao!;;;;;;;;;;;;;
form_central_india_agency_title;formar central indi;;;;;;;;;;;;;
form_central_india_agency_desc;vamo manao!;;;;;;;;;;;;;
reclaim_india_mughals_title;formar algo de los mogoles;;;;;;;;;;;;;
reclaim_india_mughals_desc;vamo manao!;;;;;;;;;;;;;
mughal_declaration_title;formar una declaracion mogolica;;;;;;;;;;;;;
mughal_declaration_desc;vamo manao!;;;;;;;;;;;;;
create_pakistan_title;crear pakistan;;;;;;;;;;;;;
create_pakistan_desc;vamo manao!;;;;;;;;;;;;;
form_pakistan_title;formar pakistan;;;;;;;;;;;;;
form_pakistan_desc;vamo manao!;;;;;;;;;;;;;
