Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
aborigine;Aborigine;Aborigène;Aborigisch;;Aborigen;;;;;;;;;
afar;Afar;Afar;Afarisch;;Afar;;;;;;;;;
african_diaspora_cultures;African Diaspora Cultures;Cultures de la diaspora africaine;Fremdafrikanisch;;Culturas de la diáspora africana;;;;;;;;;
african_minor;African Minor;Africain (petits États);Afrikanisch;;Africana menor;;;;;;;;;
afro_american;Afro American;Afro-américain;Afroamerikanisch;;Afro-americana;;;;;;;;;
afro_antillean;Afro Antillean;Afro-antillais;Afro-Antillisch;;Afro-antillana;;;;;;;;;
afro_brazilian;Afro Brazilian;Afro-brésilien;Afrobrasilianisch;;Afro-brasileña;;;;;;;;;
afro_caribbean;Afro Caribbean;Afro-caraïbe;Afrokaribisch;;Afro-caribeña;;;;;;;;;
afro_caribeno;Afro Caribeno;Afro-cariban;Afro-Karibisch;;Afro-caribeña;;;;;;;;;
aimara;Aimara;Aymara;Aimarisch;;Aimara;;;;;;;;;
ainu;Ainu;Aïnou;Ainuisch;;Ainu;;;;;;;;;
akan;Akan;Akan;Akanisch;;Akan;;;;;;;;;
albanian;Albanian;Albanais;Albanisch;;Albanesa;;;;;;;;;
amazonian;Amazonian;Amazonien;Amazonisch;;Amazónica;;;;;;;;;
american_cultures;American Cultures;Cultures américaines;Amerikanische Kulturen;;Culturas americanas;;;;;;;;;
amhara;Amhara;Amharique;Amharisch;;Amhara;;;;;;;;;
anglo_canadian;Anglo Canadian;Anglo-canadien;Anglokanadisch;;Anglocanadiense;;;;;;;;;
arab;Arab;arabe;Arabien;;;;;;;;;;;
armenian;Armenian;Arménien;Armenisch;;Armenia;;;;;;;;;
ashkenazi;Ashkenazi;Ashkénaze;Aschkenasisch;;Ashkenazí;;;;;;;;;
asian_minor;Asian Minor;Asiatique (Asie mineure);Asiatisch;;Asiática menor;;;;;;;;;
assamese;Assamese;Assamais;Assamisch;;Asamesa;;;;;;;;;
australian;Australian;Australien;Australisch;;Australiana;;;;;;;;;
avadhi;Avadhi;Avadhi;Avadhisch;;Avadhi;;;;;;;;;
azande;Azande;Zandé;Azandisch;;Azande;;;;;;;;;
azerbaijani;Azerbaijani;Azerbaïdjanais;Aserbaidschanisch;;Azerbaiyana;;;;;;;;;
baganda;Baganda;Baganda;Bagandisch;;Baganda;;;;;;;;;
baguirmi;Baguirmi;Baguirmi;Baguirmisch;;Baguirmi;;;;;;;;;
bakongo;Bakongo;Bakongo;Bakongolesich;;Bakongo;;;;;;;;;
