Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
democratic_transition_d_title;Begin the democratic transition;;;;;;;;;;;;;
democratic_transition_d_desc;Our monarch serves no other purpose than being a symbol and having a small amount of control over the laws of our country. Yet we feel like if we removed him from his position into a solely symbolic one we could turn our country into a real democracy. Of course for this we would need the support of the people and the administration to be able to change from a constitutional monarchy into a complete democracy.;;;;;;;;;;;;;
demo_trans_ev01;Democratic transition begun;;;;;;;;;;;;;
demo_trans_ev01_desc;As we chose to become a democracy throwing away the monarchic values of our past we still needed to ask the king to accept our choice. Or if so we chose we could try going without asking him, but it could lead to foreign intervention.;;;;;;;;;;;;;
demo_trans_ev01_opt1;Ask the king;;;;;;;;;;;;;
demo_trans_ev01_opt2;Don't ask him;;;;;;;;;;;;;
demo_trans_ev02a;King says yes!;;;;;;;;;;;;;
demo_trans_ev02a_desc;We asked the king for his opinion on turning the country into a complete democracy and he agreed! He realised that the time of glorious monarchs and royal families are over. This way we have the royal support to carry out our goal.;;;;;;;;;;;;;
demo_trans_ev02a_opt;Great!;;;;;;;;;;;;;
demo_trans_ev02b;King says no!;;;;;;;;;;;;;
demo_trans_ev02b_desc;The monarch of our nation said no to our goals calling them too ambitious. He does not believe in the new ways of democracy and he thinks that the time of once great royal families still did not pass.;;;;;;;;;;;;;
demo_trans_ev02b_opt;Blast!;;;;;;;;;;;;;
demo_trans_ev03a;Unrest grows;;;;;;;;;;;;;
demo_trans_ev03a_desc;After our monarch agreed upon reforming our government some supporters of us became more and more radical, wanting more than simple democracy, many other radical groups joining them wanting their own reforms included in the new democratic consitution. Shall we still continue and try to reform the government like this or give up this goal for now?;;;;;;;;;;;;;
demo_trans_ev03a_opt1;We shall proceed.;;;;;;;;;;;;;
demo_trans_ev03a_opt2;Maybe next time...;;;;;;;;;;;;;
demo_trans_ev03b;We shall proceed;;;;;;;;;;;;;
demo_trans_ev03b_desc;After our monarch said yes to the reform of the government we could start carrying out the administrational reforms regarding the change of constitution. It is a bright day for our nation.;;;;;;;;;;;;;
demo_trans_ev03b_opt;Let's do it.;;;;;;;;;;;;;
demo_trans_ev03c;Next step?;;;;;;;;;;;;;
demo_trans_ev03c_desc;With the king saying no to the reform or without us asking him there is little we can do without royal support. Of course we could try to continue the consitutional reform, but then our king will surely ask for outside intervention, dragging our country into a war. Or we could choose to stop the reform and try again later.;;;;;;;;;;;;;
demo_trans_ev03c_opt1;Maybe next time...;;;;;;;;;;;;;
demo_trans_ev03c_opt2;We will fight!;;;;;;;;;;;;;
demo_trans_event_04a;Success!;;;;;;;;;;;;;
