Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
no_citizenship;No Citizenship;;;;;;;;;;;;;
no_citizenship_desc;Our nation has nothing what the western world calls citizenship.;;;;;;;;;;;;;
no_conscription;No Conscription;;;;;;;;;;;;;
voluntary_conscription;Voluntary Conscription;;;;;;;;;;;;;
total_conscription;Total Military Servitude;;;;;;;;;;;;;
mandatory_military_service;Compulsory Military Service;;;;;;;;;;;;;
feudal_conscription;Serf Conscription;;;;;;;;;;;;;
universal_citizenship;Universal Citizenship;;;;;;;;;;;;;
no_minority_citizenship;Minority Denied Citizenship;;;;;;;;;;;;;
city_people_citizenship;Higher Class Citizenship;;;;;;;;;;;;;
only_noble_citizenship;Only Aristocratic Citizens;;;;;;;;;;;;;
immigrant_country;Land of Immigrants;;;;;;;;;;;;;
forced_assimilation;Forced Assimilation;;;;;;;;;;;;;
intolerance_against_min;Discriminative Primary Culture;;;;;;;;;;;;;
tolerated_minority;Tolerated Minority;;;;;;;;;;;;;
law_accepted_hs;Homosexual Marriage Allowed;;;;;;;;;;;;;
accepted_hs;Homosexuality Accepted;;;;;;;;;;;;;
outlawed_hs;Outlawed Homosexuality;;;;;;;;;;;;;
completely_banned;No Armed Citizens;;;;;;;;;;;;;
only_registrated;Only Registrated Guns;;;;;;;;;;;;;
no_automatic_no_reg;Only Small Arms;;;;;;;;;;;;;
no_regulations;No Arms Regulations;;;;;;;;;;;;;
no_conscription_desc;Our country chose not to use its citizens as military reserves.;;;;;;;;;;;;;
voluntary_conscription_desc;Our country has a voluntary conscription system;;;;;;;;;;;;;
total_conscription_desc;Each and every citizen of our country is a reserve soldier for our army at peacetime.;;;;;;;;;;;;;
mandatory_military_service_desc;There is a set compulsory military servitude in our country.;;;;;;;;;;;;;
feudal_conscription_desc;We use our serfs in wars.;;;;;;;;;;;;;
universal_citizenship_desc;Each and every person living between out borders is a citizen of our nation.;;;;;;;;;;;;;
no_minority_citizenship_desc;Only our country's primary and accepted cultures are allowed citizenship;;;;;;;;;;;;;
city_people_citizenship_desc;Only the higher classes are given citizenship.;;;;;;;;;;;;;
only_noble_citizenship_desc;Only the aristocrats can consider themselves our citizens.;;;;;;;;;;;;;
immigrant_country_desc;Ours is a land of the free and everyone is welcome.;;;;;;;;;;;;;
forced_assimilation_desc;We force the minorities to assimilate to our primary culture.;;;;;;;;;;;;;
intolerance_against_min_desc;We discriminate against the minorities.;;;;;;;;;;;;;
tolerated_minority_desc;Our minorities are mostly tolerated.;;;;;;;;;;;;;
law_accepted_hs_desc;We have accepted and legalised homosexual marriage.;;;;;;;;;;;;;
accepted_hs_desc;We accept homosexual citizens, but deny them the right to enter into a marriage.;;;;;;;;;;;;;
outlawed_hs_desc;We criminalized homosexuality.;;;;;;;;;;;;;
completely_banned_desc;No citizens may have any kinds of firearms.;;;;;;;;;;;;;
only_registrated_desc;Our citizens may carry registrated handguns.;;;;;;;;;;;;;
no_automatic_no_reg_desc;Our citizens may carry any smaller firearms without registration.;;;;;;;;;;;;;
no_regulations_desc;We do not regulate bearing firearms.;;;;;;;;;;;;;
legal_child;Legal Child Labour;;;;;;;;;;;;;
legal_child_desc;Child labor is legal in our country and practised in our factories.;;;;;;;;;;;;;
restricted_child;Restricted Child Labour;;;;;;;;;;;;;
restricted_child_desc;Child labor is restricted by many laws, yet it is allowed under said conditions that must be followed.;;;;;;;;;;;;;
illegal_child;Illegal Child Labour;;;;;;;;;;;;;
illegal_child_desc;Child labor is completely illegal in our country, which removes us of possible extra workforce, but is regarded positively in the international diplomacy.;;;;;;;;;;;;;
patriarchal_female;Patriarchal Society;;;;;;;;;;;;;
patriarchal_female_desc;Ours is a society of fathers and sons, where women may only do housework and has no rights.;;;;;;;;;;;;;
cheap_work_female;Women as Cheap Labour;;;;;;;;;;;;;
cheap_work_female_desc;We allow the women of our country to work in factories, of course on a way lower wage than men.;;;;;;;;;;;;;
wartime_female;Wartime Mobilisation of Women;;;;;;;;;;;;;
wartime_female_desc;We have mobilised our women to join the industry to keep up with our army's growing needs.;;;;;;;;;;;;;
workplace_discrimination_female;Discrimination Against Women;;;;;;;;;;;;;
workplace_discrimination_female_desc;We allow women to work anywhere, yet they are often discriminated with lower wages and other means.;;;;;;;;;;;;;
career_female;Career Women;;;;;;;;;;;;;
career_female_desc;The women in our society has the same level of rights as any men, allowing them to create their very own career.;;;;;;;;;;;;;
minority_reforms;Minority Reforms;;;;;;;;;;;;;
conscription_reforms;Conscription \nReforms;;;;;;;;;;;;;
citizenship_reforms;Citizenship \nReforms;;;;;;;;;;;;;
arms_reforms;Arms Reforms;;;;;;;;;;;;;
homosexuality_reforms;Homosexual \nRights;;;;;;;;;;;;;
child_reforms;Child Labour \nReforms;;;;;;;;;;;;;
women_reforms;Women Labour\n Reforms;;;;;;;;;;;;;
