Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
IBU;Iberian Union;;;;;;;;;;;;;
IBU_ADJ;Iberian;;;;;;;;;;;;;
IBU_fascist_dictatorship;Gran Iberia;;;;;;;;;;;;;
IBU_bourgeois_dictatorship;Iberian Republic;;;;;;;;;;;;;
IBU_proletarian_dictatorship;Iberian People's Union;;;;;;;;;;;;;
DUR;Pashtunistan;;;;;;;;;;;;;
DUR_ADJ;Pashtun;;;;;;;;;;;;;
DUR_absolute_monarchy;Durrani Empire;;;;;;;;;;;;;
DUR_prussian_constitutionalism;Durrani Empire;;;;;;;;;;;;;
DUR_hms_government;Durrani Empire;;;;;;;;;;;;;
DUR_fascist_dictatorship;Greater Pashtun Republic;;;;;;;;;;;;;
DUR_bourgeois_dictatorship;The Durrani Republic;;;;;;;;;;;;;
DUR_presidential_dictatorship;Pashtun Republic;;;;;;;;;;;;;
DUR_proletarian_dictatorship;People's Republic of Pashtunistan;;;;;;;;;;;;;
PBC;Peru-Bolivia;;;;;;;;;;;;;
PBC_ADJ;Peru-Bolivian;;;;;;;;;;;;;
PBC_proletarian_dictatorship;Andes Commonwealth;;;;;;;;;;;;;
PBC_proletarian_dictatorship_ADJ;Andine;;;;;;;;;;;;;
PBC_democracy;Andes Republic;;;;;;;;;;;;;
PBC_democracy_ADJ;Andine;;;;;;;;;;;;;
PBC_fascist_dictatorship;Free Republic of Inca;;;;;;;;;;;;;
PBC_fascist_dictatorship_ADJ;Incan;;;;;;;;;;;;;
TRK;Turkestan;;;;;;;;;;;;;
TRK_ADJ;Turk;;;;;;;;;;;;;
TRK_proletarian_dictatorship;People's Republic of Turkestan;;;;;;;;;;;;;
TRK_fascist_dictatorship;Greater Turkestan;;;;;;;;;;;;;
TRK_presidential_dictatorship;East Turkestan;;;;;;;;;;;;;
ULA;Union Latinoamericana;;;;;;;;;;;;;
ULA_ADJ;Latin American;;;;;;;;;;;;;
ULA_proletarian_dictatorship;People's Republic of Latin America;;;;;;;;;;;;;
ULA_fascist_dictatorship;Latin American Republic;;;;;;;;;;;;;
ULA_absolute_monarchy;Empire of Latin America;;;;;;;;;;;;;
ULA_prussian_constitutionalism;Empire of Latin America;;;;;;;;;;;;;
ULA_hms_government;Empire of Latin America;;;;;;;;;;;;;
ARB_absolute_monarchy;The Chaliphate;;;;;;;;;;;;;
ARB_prussian_constitutionalism;The Chaliphate;;;;;;;;;;;;;
ARB_hms_goverment;The Chaliphate;;;;;;;;;;;;;
ARB_democracy;Arab Federation;;;;;;;;;;;;;
ARB_bourgeois_dictatorship;Arab Federation;;;;;;;;;;;;;
ARB_presidential_dictatorship;URA;;;;;;;;;;;;;
ARB_fascist_dictatorship;The Islamic State;;;;;;;;;;;;;
ARB_proletarian_dictatorship;Arab Jamahiriya ;;;;;;;;;;;;;
ARB;Arab Caliphate;;;;;;;;;;;;;
ARB_ADJ;Arab;;;;;;;;;;;;;
LAP;La Plata;;;;;;;;;;;;;
LAP_ADJ;Platine;;;;;;;;;;;;;
LAP_democracy;Platine Republic;;;;;;;;;;;;;
LAP_proletarian_dictatorship;People's Republic of La Plata;;;;;;;;;;;;;
LAP_fascist_dictatorship;Free Republic of the Platine;;;;;;;;;;;;;
CAU;Caucasia;;;;;;;;;;;;;
CAU_ADJ;Caucasian;;;;;;;;;;;;;
CAU_democracy;United States of Caucasus;;;;;;;;;;;;;
CAU_proletarian_dictatorship;Caucasian People's Republic;;;;;;;;;;;;;
CAU_fascist_dictatorship;Great Caucasia;;;;;;;;;;;;;
DNB;Danubian Federation;;;;;;;;;;;;;
DNB_ADJ;Danubian;;;;;;;;;;;;;
DNB_democracy;United States of the Danube;;;;;;;;;;;;;
DNB_proletarian_dictatorship;People's Republic of the Danube;;;;;;;;;;;;;
DNB_fascist_dictatorship;Greater Republic of Central Europe;;;;;;;;;;;;;
MGR;The Maghreb Empire;;;;;;;;;;;;;
MGR_ADJ;Maghreb;;;;;;;;;;;;;
MGR_democracy;Maghreb Union;;;;;;;;;;;;;
MGR_proletarian_dictatorship;People's Republic of North Africa;;;;;;;;;;;;;
MGR_fascist_dictatorship;United Republic of North Africa;;;;;;;;;;;;;
TRK_liberal;Movement for Autonomy;;;;;;;;;;;;;
TRK_reactionary;Shura-e-Ulema;;;;;;;;;;;;;
TRK_anarcho_liberal;Turk Union of Democratic Forces;;;;;;;;;;;;;
TRK_socialist;Social Democratic Alliance;;;;;;;;;;;;;
TRK_communist;Red Basmachism;;;;;;;;;;;;;
TRK_fascist;Union of National Socialists;;;;;;;;;;;;;
TRK_conservative;White Basmachism;;;;;;;;;;;;;
MGR_conservative;Party of Sustainable Development;;;;;;;;;;;;;
MGR_liberal;Federalist Democratic Party;;;;;;;;;;;;;
MGR_reactionary;Order of the Muslim Senusitov;;;;;;;;;;;;;
MGR_anarcho_liberal;Republican People's Party;;;;;;;;;;;;;
MGR_socialist;Baath;;;;;;;;;;;;;
MGR_communist;Communist Party of the Action;;;;;;;;;;;;;
MGR_fascist;Order Marinitov;;;;;;;;;;;;;
DUR_conservative;Hezbi Jumhori Durrani;;;;;;;;;;;;;
DUR_liberal;Hizbe Azadikhwai Durrani;;;;;;;;;;;;;
DUR_reactionary;Hezb-e-Mahaz-e-Mili Islami;;;;;;;;;;;;;
DUR_anarcho_liberal;Hezb-e-Paiwand Mili;;;;;;;;;;;;;
DUR_socialist;Durrani Mellat;;;;;;;;;;;;;
DUR_communist;Hizb-e Mardum-e Afghanistan;;;;;;;;;;;;;
DUR_fascist;Hizb ut-Tahrir;;;;;;;;;;;;;
