Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
BYR;Bayreuth;;;;;;;;;;;;;
BYR_ADJ;Bayreuth;;;;;;;;;;;;;
CLR;Colmar;;;;;;;;;;;;;
CLR_ADJ;Colmar;;;;;;;;;;;;;
DRT;Dortmund;;;;;;;;;;;;;
DRT_ADJ;Dortmund;;;;;;;;;;;;;
EFT;Erfurt;;;;;;;;;;;;;
EFT_ADJ;Erfurt;;;;;;;;;;;;;
EMD;Emden;;;;;;;;;;;;;
EMD_ADJ;Emden;;;;;;;;;;;;;
FDA;Fulda;;;;;;;;;;;;;
FDA_ADJ;Fuldan;;;;;;;;;;;;;
GHB;Berg;;;;;;;;;;;;;
GHB_ADJ;Bergian;;;;;;;;;;;;;
GHB_absolute_monarchy;Grand Duchy of Berg;;;;;;;;;;;;;
GHB_hms_government;Grand Duchy of Berg;;;;;;;;;;;;;
GHB_prussian_constitutionalism;Grand Duchy of Berg;;;;;;;;;;;;;
HBR;Heilbronn;;;;;;;;;;;;;
HBR_ADJ;Heilbronn;;;;;;;;;;;;;
HNB;Henneberg;;;;;;;;;;;;;
HNB_ADJ;Henneberg;;;;;;;;;;;;;
LNG;Luneburg;;;;;;;;;;;;;
LNG_ADJ;Luneburgian;;;;;;;;;;;;;
MGG;Magdeburg;;;;;;;;;;;;;
MGG_ADJ;Magdeburg;;;;;;;;;;;;;
MND;Minden;;;;;;;;;;;;;
MND_ADJ;Minden;;;;;;;;;;;;;
MNZ;Mainz;;;;;;;;;;;;;
MNZ_ADJ;Mainz;;;;;;;;;;;;;
NRM;Nuremburg;;;;;;;;;;;;;
NRM_ADJ;Nuremburg;;;;;;;;;;;;;
OSN;Osnabrück;Osnabrück;Osnabrück;;Osnabrück;;;;;;;;;
OSN_ADJ;Osnabrückian;Osnabrückian;Osnabrückian;;Osnabrückian;;;;;;;;;
PML;Pomerelia;;;;;;;;;;;;;
PML_ADJ;Pomerelian;;;;;;;;;;;;;
RGN;Regensburg;;;;;;;;;;;;;
RGN_ADJ;Regensburg;;;;;;;;;;;;;
SGM;Hohenzollern;;;;;;;;;;;;;
SGM_ADJ;Hohenzollernsch;;;;;;;;;;;;;
