Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
ABU_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facción comunista;;;;;;;;;
ABU_conservative;Sheikhs Council;Conseil des Cheikhs;Scheichrat;;Consejo de jeques;;;;;;;;;
ABU_conservative_2;Trucial Sheiks;Sheiks Trucial;Befriedete Scheichs;;Jeques truciales;;;;;;;;;
ABU_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;;;
ABU_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;;;
ABU_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;;;;;;;;;
ABU_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La facción socialista;;;;;;;;;
AFG_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facción radical;;;;;;;;;
AFG_communist;People's Democratic Party of Afghanistan;;;;;;;;;;;;;
AFG_conservative;Amir Faction;Faction Amir;Amir-Fraktion;;Facción Amir;;;;;;;;;
AFG_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;;;
AFG_liberal;Pashah Faction;Faction Pashah;Pascha-Fraktion;;Facción Bajá;;;;;;;;;
AFG_liberal_2;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;;;
AFG_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;;;;;;;;;
AFG_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La facción socialista;;;;;;;;;
AJU_anarcho_liberal_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;
AJU_communist_86;Communists;Communists;Communists;;;;;;;;;;;
AJU_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;
AJU_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;
AJU_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;
AJU_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;
AJU_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;
AJU_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;
AJU_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;
ALB_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facción radical;;;;;;;;;
ALB_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facción comunista;;;;;;;;;
ALB_conservative;Pasha Faction;Faction Pasha;Pascha-Fraktion;;Facción bajá;;;;;;;;;
ALB_conservative_2;Royal Faction;Faction royale;Königsfraktion;;Facción real;;;;;;;;;
ALB_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;;;
ALB_liberal;National Assembly;Assemblée nationale;Nationalversammlung;;Asamblea Nacional;;;;;;;;;
ALB_liberal_2;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;;;
ALB_reactionary;League of Pirzen;Ligue de Pirzen;Liga von Prizren;;Liga de Pilzen;;;;;;;;;
