Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
BLZ_nationalist;Nationalist Faction;;;;;;;;;;;;;
GUY_nationalist;Nationalist Faction;;;;;;;;;;;;;
LAO_communist;Communist Party;;;;;;;;;;;;;
LAO_nationalist;Nationalist Faction;;;;;;;;;;;;;
LAO_liberal;Liberal Party;;;;;;;;;;;;;
LAO_conservative;Conservative Party;;;;;;;;;;;;;
LAO_anarcho_liberal;Radicalist Party;;;;;;;;;;;;;
LAO_socialist;Socialist Party;;;;;;;;;;;;;
LAO_reactionary;Populist Party;;;;;;;;;;;;;
LAO_fascist;Fascist Party;;;;;;;;;;;;;
THA_communist;Communist Party;;;;;;;;;;;;;
THA_nationalist;Nationalist Faction;;;;;;;;;;;;;
THA_liberal;Liberal Party;;;;;;;;;;;;;
THA_conservative;Conservative Party;;;;;;;;;;;;;
THA_anarcho_liberal;Radicalist Party;;;;;;;;;;;;;
THA_socialist;Socialist Party;;;;;;;;;;;;;
THA_reactionary;Populist Party;;;;;;;;;;;;;
THA_fascist;Fascist Party;;;;;;;;;;;;;
CHD_communist;Chad Communist Party;;;;;;;;;;;;;
CHD_nationalist;Chad Nationalist Faction;;;;;;;;;;;;;
CHD_liberal;Chad Liberal Party;;;;;;;;;;;;;
CHD_conservative;Chad Conservative Party;;;;;;;;;;;;;
CHD_anarcho_liberal;Chad Radicalist Party;;;;;;;;;;;;;
CHD_socialist;Chad Socialist Party;;;;;;;;;;;;;
CHD_reactionary;Chad Populist Party;;;;;;;;;;;;;
CHD_fascist;Chad Fascist Party;;;;;;;;;;;;;
MAC_communist;Communist Party;;;;;;;;;;;;;
MAC_nationalist;Nationalist Faction;;;;;;;;;;;;;
MAC_liberal;Liberal Party;;;;;;;;;;;;;
MAC_conservative;Conservative Party;;;;;;;;;;;;;
MAC_anarcho_liberal;Radicalist Party;;;;;;;;;;;;;
MAC_socialist;Socialist Party;;;;;;;;;;;;;
MAC_reactionary;Populist Party;;;;;;;;;;;;;
MAC_fascist;Fascist Party;;;;;;;;;;;;;
CZR_communist;Communist Party;;;;;;;;;;;;;
CZR_nationalist;Nationalist Faction;;;;;;;;;;;;;
CZR_liberal;Liberal Party;;;;;;;;;;;;;
CZR_conservative;Conservative Party;;;;;;;;;;;;;
CZR_anarcho_liberal;Radicalist Party;;;;;;;;;;;;;
CZR_socialist;Socialist Party;;;;;;;;;;;;;
CZR_reactionary;Populist Party;;;;;;;;;;;;;
CZR_fascist;Fascist Party;;;;;;;;;;;;;
MAL_communist;Communist Party;;;;;;;;;;;;;
MAL_nationalist;Nationalist Faction;;;;;;;;;;;;;
MAL_liberal;Liberal Party;;;;;;;;;;;;;
MAL_conservative;Conservative Party;;;;;;;;;;;;;
MAL_anarcho_liberal;Radicalist Party;;;;;;;;;;;;;
MAL_socialist;Socialist Party;;;;;;;;;;;;;
MAL_reactionary;Populist Party;;;;;;;;;;;;;
MAL_fascist;Fascist Party;;;;;;;;;;;;;
ERI_communist;Communist Party;;;;;;;;;;;;;
ERI_nationalist;Nationalist Faction;;;;;;;;;;;;;
ERI_liberal;Liberal Party;;;;;;;;;;;;;
ERI_conservative;Conservative Party;;;;;;;;;;;;;
ERI_anarcho_liberal;Radicalist Party;;;;;;;;;;;;;
ERI_socialist;Socialist Party;;;;;;;;;;;;;
ERI_reactionary;Populist Party;;;;;;;;;;;;;
ERI_fascist;Fascist Party;;;;;;;;;;;;;
PTK_communist;Communist Party;;;;;;;;;;;;;
PTK_nationalist;Nationalist Faction;;;;;;;;;;;;;
PTK_liberal;Liberal Party;;;;;;;;;;;;;
PTK_conservative;Conservative Party;;;;;;;;;;;;;
PTK_anarcho_liberal;Radicalist Party;;;;;;;;;;;;;
