Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
ANG_communist;Communist Party;;;;;;;;;;;;;
ANG_conservative;Conservative Party;;;;;;;;;;;;;
ANG_fascist;Fascist Party;;;;;;;;;;;;;
ANG_liberal;Liberal Party;;;;;;;;;;;;;
ANG_liberal_2;Liberal Party;;;;;;;;;;;;;
ANG_socialist;Labour Party;;;;;;;;;;;;;
ANG_reactionary;Tory Party;;;;;;;;;;;;;
ANG_anarcho_liberal;Anarchist Party;;;;;;;;;;;;;
FRA_reactionary_2;Droite nationaliste;Droite nationaliste;Droite nationaliste;;Droite nationaliste;;;;;;;;;
PER_islamist;Islamic Republic Party;;;;;;;;;;;;;
