Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
townshend_act_title;The Townshend Act;;;;;;;;;;;;;
1604_london_treaty_title;Sign: Treaty of London 1604;;;;;;;;;;;;;
english_parliarebels_title;English Parliamentarians;;;;;;;;;;;;;
english_parliarebels_name;English Parliamentarians;;;;;;;;;;;;;
english_parliarebels_desc;These rebels want to assert the power of the English parliament over the King.;;;;;;;;;;;;;
english_parliarebels_army;English Parliamentarians;;;;;;;;;;;;;
form_hre_title;Unite the Empire;;;;;;;;;;;;;
form_hre_desc;With all the German states under our control we are in a position to transform the Holy Roman Empire into a centralised nation.;;;;;;;;;;;;;
catholic_rebels_title;Catholic Rebels;;;;;;;;;;;;;
catholic_rebels_name;Catholic Rebels;;;;;;;;;;;;;
catholic_rebels_desc;Catholic rebels are Catholics who, feeling oppressed by the Protestant majority, have risen up to protect their religion.;;;;;;;;;;;;;
catholic_rebels_army;$COUNTRY_ADJ$ Catholic Rebels;;;;;;;;;;;;;
protestant_rebels_title;Protestant Rebels;;;;;;;;;;;;;
protestant_rebels_name;Protestant Rebels;;;;;;;;;;;;;
protestant_rebels_desc;Protestant rebels are Protestants who, feeling oppressed by the Catholic majority, have risen up to protect their religion.;;;;;;;;;;;;;
protestant_rebels_army;$COUNTRY_ADJ$ Protestant Rebels;;;;;;;;;;;;;
slave_rebels_name;Slave Rebels;;;;;;;;;;;;;
slave_rebels_desc;Rebellious slaves seek freedom from slavery for themselves and their kind. They have had enough of servitude and will fight to the death to achieve their goal.;;;;;;;;;;;;;
slave_rebels_army;Slave Rebels;;;;;;;;;;;;;
brandenburg_prussia2_title;Brandenburg-Prussia Personal Union;;;;;;;;;;;;;
brandenburg_prussia2_desc;Prussia has been released from Poland-Lithuania and now is our chance to unite our country's crown.;;;;;;;;;;;;;
brandenburg_prussia3_title;The Teutonic Heritage;;;;;;;;;;;;;
brandenburg_prussia3_desc;The personal union between Brandenburg and Prussia has been everlasting. This is the moment to strengthen our relationship and unite.;;;;;;;;;;;;;
ev_20000014;Evangelic Lyceum Founded in Bratislava;;;;;;;;;;;;;
desc_ev_20000014;Evangelic Lutheran Lyceum in Bratislava, Slovakia, was founded in 1606 by David Kilger as a Lutheran high school. Until 1656 was Evangelical Lyceum a school with eight classes, two of them elementary school. Among its students, from 1829 to 1836, was the young ?udov?t ?t?r, who became a member of Czech-Slav Society at the school, an important influence on his life as a Slovak nationalist.;;;;;;;;;;;;;
ev_20000015;San Augstin Church Finished in Manila!;;;;;;;;;;;;;
desc_ev_20000015;San Agustin Church was the first religious structure constructed by the Spaniards on the island of Luzon. Made of bamboo and nipa, it was completed in 1571, but destroyed by fire in December, 1574 during the attempted invasion of Manila by the forces of Limahong.;;;;;;;;;;;;;
ev_20000016;Monteverdi's L'Orfeo Debuts;;;;;;;;;;;;;
