Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
apache;Apache;;;;;;;;;;;;;
comanche;Comanche;;;;;;;;;;;;;
chumash;Chumash;;;;;;;;;;;;;
creek;Creek;;;;;;;;;;;;;
susquehannock;Susquehannock;;;;;;;;;;;;;
chinook;Chinook;;;;;;;;;;;;;
arapaho;Arapaho;;;;;;;;;;;;;
cheyenne;Cheyenne;;;;;;;;;;;;;
sioux;Sioux;;;;;;;;;;;;;
lenape;Lenape;;;;;;;;;;;;;
quinnipiac;Quinnipiac;;;;;;;;;;;;;
huron;Huron;;;;;;;;;;;;;
micmac;Micmac;;;;;;;;;;;;;
powhatan;Powhatan;;;;;;;;;;;;;
