Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
mars_colony_dispute;Martian Colony Dispute;;;;;;;;;;;;;
mars_colony_dispute_desc;Demand that this country removes all colonists from Mars;;;;;;;;;;;;;
mars_colony_dispute_setup;Demand that this country removes all colonists from Mars;;;;;;;;;;;;;
mars_colony_dispute_short;Martian Dispute;;;;;;;;;;;;;
moon_colony_dispute;Lunar Colony Dispute;;;;;;;;;;;;;
moon_colony_dispute_desc;Demand that this country removes all colonists from the Moon;;;;;;;;;;;;;
moon_colony_dispute_setup;Demand that this country removes all colonists from the Moon;;;;;;;;;;;;;
moon_colony_dispute_short;Lunar Dispute;;;;;;;;;;;;;
MOON_WAR_NAME;$ORDER$War of $FIRST$ Lunar Hegemony;;;;;;;;;;;;;
MARS_WAR_NAME;$ORDER$War of $FIRST$ Martian Hegemony;;;;;;;;;;;;;
