Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
strict_military_doctrine;Strict Military Doctrine;Strict Military Doctrine;Strict Military Doctrine;;Strict Military Doctrine;;;;;;;;;
prussian_doctrine;Prussian Doctrine;Prussian Doctrine;Prussian Doctrine;;Prussian Doctrine;;;;;;;;;
30_years_war_era;30 Year's War Era;30 Year's War Era;30 Year's War Era;;30 Year's War Era;;;;;;;;;
napoleonic_thought;Napoleonic Thought;Napoleonic Thought;Napoleonic Thought;;Napoleonic Thought;;;;;;;;;
19th_century_doctrine;19th Century Doctrine;19th Century Doctrine;19th Century Doctrine;;19th Century Doctrine;;;;;;;;;
early_muskets;Early Muskets;Early Muskets;Early Muskets;;Early Muskets;;;;;;;;;
bayonets;Bayonets;Bayonets;Bayonets;;Bayonets;;;;;;;;;
late_muskets;Late Muskets;Late Muskets;Late Muskets;;Late Muskets;;;;;;;;;
early_rifled_muskets;Early Rifled Muskets;Early Rifled Muskets;Early Rifled Muskets;;Early Rifled Muskets;;;;;;;;;
napoleonic_rifles;Napoleonic Rifles;Napoleonic Rifles;Napoleonic Rifles;;Napoleonic Rifles;;;;;;;;;
early_flintlock_rifles;Early Flintlock Rifles;Early Flintlock Rifles;Early Flintlock Rifles;;Early Flintlock Rifles;;;;;;;;;
advanced_flintlock_rifles;Advanced Flintlock Rifles;Advanced Flintlock Rifles;Advanced Flintlock Rifles;;Advanced Flintlock Rifles;;;;;;;;;
field_artillery;Field Artillery;Field Artillery;Field Artillery;;Field Artillery;;;;;;;;;
enfilading_tactics;Enfilading Tactics;Enfilading Tactics;Enfilading Tactics;;Enfilading Tactics;;;;;;;;;
demi-cannon;Demi-Cannon;Demi-Cannon;Demi-Cannon;;Demi-Cannon;;;;;;;;;
rifled_artillery;Rifled Artillery;Rifled Artillery;Rifled Artillery;;Rifled Artillery;;;;;;;;;
napoleonic_cannons;Napoleonic Cannons;Napoleonic Cannons;Napoleonic Cannons;;Napoleonic Cannons;;;;;;;;;
post_napoleonic_cannons;Post Napoleonic Cannons;Post Napoleonic Cannons;Post Napoleonic Cannons;;Post Napoleonic Cannons;;;;;;;;;
early_century_staff_system;18th Century Staff System;18th Century Staff System;18th Century Staff System;;18th Century Staff System;;;;;;;;;
early_century_plans;18th Century Plans;18th Century Plans;18th Century Plans;;18th Century Plans;;;;;;;;;
early_century_statistics;18th Century Statistics;18th Century Statistics;18th Century Statistics;;18th Century Statistics;;;;;;;;;
early_century_logistics;18th Century Logistics;18th Century Logistics;18th Century Logistics;;18th Century Logistics;;;;;;;;;
early_century_directionism;18th Century Directionism;18th Century Directionism;18th Century Directionism;;18th Century Directionism;;;;;;;;;
intro_to_19th_century;Intro to the 19th Century;Intro to the 19th Century;Intro to the 19th Century;;Intro to the 19th Century;;;;;;;;;
late_century_staff_system;19th Century Staff System;19th Century Staff System;19th Century Staff System;;19th Century Staff System;;;;;;;;;
late_century_plans;19th Century Plans;19th Century Plans;19th Century Plans;;19th Century Plans;;;;;;;;;
late_century_statistics;19th Century Statistics;19th Century Statistics;19th Century Statistics;;19th Century Statistics;;;;;;;;;
late_century_logistics;19th Century Logistics;19th Century Logistics;19th Century Logistics;;19th Century Logistics;;;;;;;;;
late_century_directionism;19th Century Directionism;19th Century Directionism;19th Century Directionism;;19th Century Directionism;;;;;;;;;
army_direct_command;Army Direct Command;Army Direct Command;Army Direct Command;;Army Direct Command;;;;;;;;;
officer_corps;Officer Corps;Officer Corps;Officer Corps;;Officer Corps;;;;;;;;;
loyal_chain_of_command;Loyal Chain of Command;Loyal Chain of Command;Loyal Chain of Command;;Loyal Chain of Command;;;;;;;;;
prussian_military_leadership;Prussian Military Leadership;Prussian Military Leadership;Prussian Military Leadership;;Prussian Military Leadership;;;;;;;;;
