Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
age_of_rationalism;Age of Rationalism;;;;;;;;;;;;;
agricultural_revolution_tech;The Agricultural Revolution;;;;;;;;;;;;;
AI_ground_leadership;AI Ground Leadership;;;;;;;;;;;;;
anti_clericalism;Anti Clericalism;;;;;;;;;;;;;
anti_necessitarian_soc_thought;Anti Necessitarianism;;;;;;;;;;;;;
antiquity_invention;Rediscovered Antiquity;;;;;;;;;;;;;
army_doctrine;1700 - 1799;1700 - 1799;1700 - 1799;;1700 - 1799;;;;;;;;;
army_doctrine_desc;This is the doctrinal change of your army. New ideas of how to move and defend while increasing the defense of your units, increasing their speed, and giving you the possibility to enhance your fortifications.;Il s'agit du changement de doctrine de votre armée. De nouvelles méthodes offensives et défensives permettent d'augmenter la défense et la vitesse de vos unités et d'améliorer vos fortifications. ;Dies ist der doktrinelle Wechsel Ihrer Armee. Neue Ideen bezüglich mobiler Verteidigung bei gleichzeitiger Verbesserung der Verteidigungsfähigkeiten Ihrer Einheiten erhöhen deren Geschwindigkeit und geben Ihnen die Möglichkeit, Ihre Befestigungsanlagen zu verstärken.;;Esto es el cambio doctrinal de tu ejército. Nuevas ideas de cómo moverse y defender al tiempo que aumentas la defensa de tus unidades, su velocidad y la posibilidad de mejorar tus fortificaciones.;;;;;;;;;
army_tech;Army: From 1700;Army: From 1700;Army: From 1700;;Army: From 1700;;;;;;;;;
assymetric_warfare;Assymetric Warfare;;;;;;;;;;;;;
assymetric_warfare_desc;Assymetric Warfare;;;;;;;;;;;;;
atheism_invention;Atheism;;;;;;;;;;;;;
atom_bomb;The Atom Bomb;;;;;;;;;;;;;
atom_bomb_desc;I am become death, the destroyer of worlds;;;;;;;;;;;;;
automatized_ship_command;Automatized Ship Command;;;;;;;;;;;;;
barometer;Barometer;;;;;;;;;;;;;
bayonet_invention;The Bayonet;;;;;;;;;;;;;
bill_of_rights_invention;Bills of Rights;;;;;;;;;;;;;
binary_system;The Binary System;;;;;;;;;;;;;
birth_of_science_tech;The Birth of Science;;;;;;;;;;;;;
blackpowderforts;Black Powder Forts;;;;;;;;;;;;;
bolt_action_rifle_armament;Bolt-action Rifle Armament;;Kammerverschluss-Aufrüstung;;;;;;;;;;;
bolt_action_rifle_armament_desc;Bolt action is a type of firearm action in which the weapon's bolt is operated manually by the opening and closing of the breech (barrel) with a small handle. he first bolt-action rifle was produced in 1824 by Johann Nikolaus von Dreyse, following work on breechloading rifles. European armies continued to develop bolt-action rifles through the latter half of the Nineteenth Century and World War I marked the height of the bolt-action rifle's use, with all of the nations in that war fielding troops armed with various bolt-action designs.;;Beim Kammerverschluss wird der Waffenbolzen manuell durch das Öffnen und Schließen des Hinterladerlaufs, mithilfe eines kleinen Hebels, betätigt. Das erste Gewehr mit Kammerverschluss wurde 1824 von Johann Nikolaus von Dreyse bei seiner Arbeit an Hinterlader-Gewehren hergestellt. Europäische Armeen entwickelten diese Gewehre im späten 19. Jahrhundert weiter und ihre Verwendung fand im ersten Weltkrieg ihren Höhepunkt, als alle kriegsbeteiligten Nationen ihre Truppen mit verschiedenen Entwicklungen dieses Designs ausrüsteten.;;;;;;;;;;;
breech_loaded_rifle_armament;Breech-loaded Rifle Armament;;Hinterlader-Aufrüstung;;;;;;;;;;;
breech_loaded_rifle_armament_desc;A breech-loading weapon is a firearm in which the cartridge or shell is inserted or loaded into a chamber integral to the rear portion of a barrel. Although breech-loading weapons were developed as far back as the late 14th century, breech-loading became more successful with improvements in precision engineering and machining in the 19th century.;;Ein Hinterlader ist eine Feuerwaffe, die mit Patronen oder Granaten in einer Kammer am hinteren Lauf der Waffe geladen wird. Auch wenn Hinterlader schon im späten 14. Jahrhundert entwickelt wurden, wurden sie erst mit Verbesserungen in der Präzision und ihrer Bauweise im 19. Jahrhundert erfolgreicher.;;;;;;;;;;;
caroline_era;Navy;;;;;;;;;;;;;
carrier_doctrine;Carrier Group Doctrine;;;;;;;;;;;;;
cement_manufactories;Construction Offices;;;;;;;;;;;;;
cognitivism;Cognitivism;;;;;;;;;;;;;
col_liferate_techs;Researching the following will help deal with the local life rating:;;Folgende Forschungen zu erfoschen wird mit den lokalen Lebensbeschaffenheiten helfen:;;;;;;;;;;;
combined_forces;Combined Forces;;;;;;;;;;;;;
commerce_tech;Commerce: From 1700;Commerce: From 1700;Commerce: From 1700;;Commerce: From 1700;;;;;;;;;
commodity_narcissism;Commodity Narcissism;;;;;;;;;;;;;
computerisation;Computerisation;;;;;;;;;;;;;
conquering_the_seven_seas;Conquering the Seven Seas;;;;;;;;;;;;;
conscription_invention;Early Conscription;;;;;;;;;;;;;
counter_enligthenment;Counter Enlightenment;;;;;;;;;;;;;
counter_reformation;Counter Reformation;;;;;;;;;;;;;
cuirassier_activation;Cuirassiers;;Kürassiere;;;;;;;;;;;
cuirassier_activation_desc;Cuirassiers were mounted cavalry soldiers equipped with armour and firearms, first appearing in late 15th-century Europe. The first cuirassiers were produced as a result of armoured cavalry, such as the man-at-arms and demi-lancer, discarding their lances and adopting the use of pistols as their primary weapon. They achieved increased prominence during the Napoleonic Wars and were last fielded in the opening stages of World War I. Cuirassiers continue to be employed as ceremonial troops by a number of countries.;;Kürassiere waren berittene Kavalleriesoldaten, ausgerüstet mit Rüstung und Feuerwaffen, und tauchten erstmals im späten 15. Jahrhundert in Europa auf. Die ersten Kürassiere waren das Ergebnis gepanzerter Kavallerie, wie z.B. den Landsknechten und Halb-Ulanen, die ihre Lanzen ablegten und Pistolen als ihre Hauptwaffen wählten. Sie gewannen durch die Napoleonischen Kriege große Prominenz und wurden zuletzt zu Beginn des ersten Weltkrieges auf den Kriegsschauplätzen gesehen. Kürassiere werden bei vielen Ländern weiterhin als zeremonielle Truppen eingesetzt.;;;;;;;;;;;
culture_tech;Culture: From 1700;Culture: From 1700;Culture: From 1700;;Culture: From 1700;;;;;;;;;
dawn_of_industrial_revolution_tech;Dawn of the Industrialization;;;;;;;;;;;;;
decline_of_plate_armor;Decline of the Plate Armor;;;;;;;;;;;;;
deism;Deism;;;;;;;;;;;;;
digital_currency;Digital Currency;;;;;;;;;;;;;
digital_currency_desc;Digital Currency;;;;;;;;;;;;;
digital_revolution;Digital Revolution;;;;;;;;;;;;;
digital_revolution_desc;Digital Revolution;;;;;;;;;;;;;
downfall_of_the_old_church;Downfall of the Old Church;;;;;;;;;;;;;
dragoon_activation;Dragoons;;Dragoner;;;;;;;;;;;
dragoon_activation_desc;The word dragoon originally meant mounted infantry, who were trained in horse riding as well as infantry fighting skills. However, usage altered over time and during the 18th century, dragoons evolved into conventional light cavalry units and personnel. Dragoon regiments were established in most European armies during the late 17th and early 18th centuries. During the Napoleonic Wars, dragoons generally assumed a cavalry role, though remaining a lighter class of mounted troops than the armored cuirassiers.;;Das Wort Dragoner bezog sich ursprünglich auf berittene Infanterie, die sowohl im Reiten als auch in Kampfkünsten der Infanterie  ausgebildet wurden. Mit der Zeit änderte sich die Anwendung, sodass sich Dragoner im 18. Jahrhundert zu konventionellen, leichten Kavallerieeinheiten und Besatzungen entwickelten. Dragoner-Regimenter etablierten sich im späten 17. und frühen 18. Jahrhundert in den meisten Armeen Europas. In den Napoleonischen Kriegen übernahmen Dragoner vorwiegend eine Kavallerie-Rolle, waren allerdings eine leichtere Klasse berittener Truppen als die gepanzerten Kürassiere.;;;;;;;;;;;
drone_warfare;Drone Warfare;;;;;;;;;;;;;
dutch_plow;The Dutch Plow;;;;;;;;;;;;;
early_agricultural_reforms_tech;Early Agricultural Revolution;;;;;;;;;;;;;
early_anti_clericalism;Early Anti-Clericalism;;;;;;;;;;;;;
early_baroque;Early Baroque;;;;;;;;;;;;;
early_baroque_construction;Early Baroque Construction;;;;;;;;;;;;;
early_baroque_fine_arts;Early Baroque Fine Arts;;;;;;;;;;;;;
early_baroque_music_n_literature;Early Baroque Music and Literature;;;;;;;;;;;;;
earlycannon;Early Cannons;;;;;;;;;;;;;
early_cannons;Early Cannons;;;;;;;;;;;;;
early_colonialism;Early Colonialism;;;;;;;;;;;;;
early_flintlock_musketeers;Early Flintlock Musketeers;;;;;;;;;;;;;
early_idealism_invention;Early Idealism;;;;;;;;;;;;;
early_lumber_mills;Early Lumber Mills;;;;;;;;;;;;;
early_military_revolution;Early Military Revolution;;;;;;;;;;;;;
early_modern_philosphies;Early Modern Philosophies;;;;;;;;;;;;;
early_modern_warfare;Early Modern Warfare;;;;;;;;;;;;;
early_romanticism;Ideals of the Early Romanticism;;;;;;;;;;;;;
early_romantistic_construction;Architecture of the Early Romanticism;;;;;;;;;;;;;
early_romanticistic_culture;Early Romanticism;;;;;;;;;;;;;
early_romantistic_fine_arts;Fine Arts of the Early Romanticism;;;;;;;;;;;;;
early_romantistic_music_n_literature;Music and Literature of the Early Romanticism;;;;;;;;;;;;;
early_telegraph_invention;Early Telegraph;;;;;;;;;;;;;
edwardian_era;Culture;;;;;;;;;;;;;
empiricism_invention;Empiricism;;;;;;;;;;;;;
enclosure_invention;Enclosures;;;;;;;;;;;;;
encyclopaedia_invention;Encyclopaedia;;;;;;;;;;;;;
enlightenment;The Enlightenment;;;;;;;;;;;;;
epistemology_invention;Epistemology;;;;;;;;;;;;;
era_of_mass_armies;Era of Mass Armies;;;;;;;;;;;;;
esoteric_traditions_invention;Esoteric Traditions;;;;;;;;;;;;;
external_debt;External Debts;;;;;;;;;;;;;
firearmed_cavalry;Firearmed Cavalry;;;;;;;;;;;;;
first_industrial_revolution_tech;The First Industrial Revolution;;;;;;;;;;;;;
first_steam_engine;Early Steam Engine;;;;;;;;;;;;;
first_telescope;Early Telescope;;;;;;;;;;;;;
flintlock_muskets;Flintlock Technology;;;;;;;;;;;;;
flintlock_rifle_armament;Flintlock Rifle Armament;;Steinschlossgewehr-Aufrüstung;;;;;;;;;;;
