Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
nuke_ABU_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_AFG_title;Launch Nuclear Strike on Afghanistan;;;;;;;;;;;;;
nuke_AFG_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_ALA_title;Launch Nuclear Strike on Alabama;;;;;;;;;;;;;
nuke_ALA_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_ALB_title;Launch Nuclear Strike on Albania;;;;;;;;;;;;;
nuke_ALB_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_ALD_title;Launch Nuclear Strike on Algeria;;;;;;;;;;;;;
nuke_ALD_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_ALS_title;Launch Nuclear Strike on Elsass;;;;;;;;;;;;;
nuke_ALS_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_ANG_title;Launch Nuclear Strike onAngola;;;;;;;;;;;;;
nuke_ANG_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_ANH_title;Launch Nuclear Strike on Anhalt;;;;;;;;;;;;;
nuke_ANH_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_ANS_title;Launch Nuclear Strike on Ansbach;;;;;;;;;;;;;
nuke_ANS_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_APC_title;Launch Nuclear Strike on Apache;;;;;;;;;;;;;
nuke_APC_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_ARA_title;Launch Nuclear Strike on Arabia;;;;;;;;;;;;;
nuke_ARA_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_ARG_title;Launch Nuclear Strike on Argentina;;;;;;;;;;;;;
nuke_ARG_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_ARM_title;Launch Nuclear Strike on Armenia;;;;;;;;;;;;;
nuke_ARM_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_AST_title;Launch Nuclear Strike on Australia;;;;;;;;;;;;;
nuke_AST_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_ATJ_title;Launch Nuclear Strike on Atjeh;;;;;;;;;;;;;
nuke_ATJ_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_AUG_title;Launch Nuclear Strike on Augsburg;;;;;;;;;;;;;
nuke_AUG_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_AUS_title;Launch Nuclear Strike on Austria;;;;;;;;;;;;;
nuke_AUS_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_AWA_title;Launch Nuclear Strike on Awadh;;;;;;;;;;;;;
nuke_AWA_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_AZB_title;Launch Nuclear Strike onAzerbajian;;;;;;;;;;;;;
nuke_AZB_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_BAD_title;Launch Nuclear Strike on Baden;;;;;;;;;;;;;
nuke_BAD_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_BAL_title;Launch Nuclear Strike on Bali;;;;;;;;;;;;;
nuke_BAL_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_BAS_title;Launch Nuclear Strike on Bastar;;;;;;;;;;;;;
nuke_BAS_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_BAV_title;Launch Nuclear Strike on Bavaria;;;;;;;;;;;;;
nuke_BAV_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_BDB_title;Launch Nuclear Strike on Brandenburg;;;;;;;;;;;;;
nuke_BDB_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
nuke_BEL_title;Launch Nuclear Strike on Belgium;;;;;;;;;;;;;
nuke_BEL_desc;Unleash nuclear fury upon our foes!;;;;;;;;;;;;;
